Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336260411,281257810318908,0.43310547,0.39242554,10.214966
android.sensor.accelerometer,1538336260416,281257830155334,0.4283142,0.42352295,10.104889
android.sensor.accelerometer,1538336260434,281257850022277,0.49771118,0.44984436,10.04747
android.sensor.accelerometer,1538336260456,281257869858703,0.49531555,0.4402771,10.069
android.sensor.accelerometer,1538336260475,281257889695128,0.43310547,0.39482117,10.1479645
android.sensor.accelerometer,1538336260497,281257909531554,0.38763428,0.37327576,10.286743
android.sensor.accelerometer,1538336260517,281257929367980,0.45224,0.36131287,10.291534
android.sensor.accelerometer,1538336260537,281257949204406,0.51924133,0.4402771,10.145569
android.sensor.accelerometer,1538336260558,281257969040832,0.48095703,0.46899414,10.035492
android.sensor.accelerometer,1538336260580,281257988877257,0.48095703,0.4665985,10.064209
android.sensor.accelerometer,1538336260596,281258008713683,0.39482117,0.40438843,10.159927
android.sensor.accelerometer,1538336260618,281258028550109,0.34695435,0.33738708,10.262817
android.sensor.accelerometer,1538336260636,281258048386535,0.39242554,0.35414124,10.327423
android.sensor.accelerometer,1538336260655,281258068253478,0.43310547,0.3756714,10.272385
android.sensor.accelerometer,1538336260676,281258088089904,0.39482117,0.3900299,10.210175
android.sensor.accelerometer,1538336260695,281258107926330,0.38523865,0.37327576,10.1814575
android.sensor.accelerometer,1538336260718,281258127762755,0.3756714,0.4019928,10.214966
android.sensor.accelerometer,1538336260735,281258147599181,0.36131287,0.39242554,10.222137
android.sensor.accelerometer,1538336260806,281258167435607,0.35653687,0.4019928,10.207779
android.sensor.accelerometer,1538336260806,281258187272033,0.3637085,0.4283142,10.128815
android.sensor.accelerometer,1538336260806,281258207138976,0.35891724,0.46180725,10.045074
android.sensor.accelerometer,1538336260813,281258226975402,0.4355011,0.47138977,10.04985
android.sensor.accelerometer,1538336260833,281258246811828,0.45463562,0.46180725,10.186249
android.sensor.accelerometer,1538336260854,281258266648253,0.3397827,0.40438843,10.29393
android.sensor.accelerometer,1538336260875,281258286484679,0.36849976,0.3756714,10.368103
android.sensor.accelerometer,1538336260893,281258306321105,0.40438843,0.39959717,10.363312
android.sensor.accelerometer,1538336260914,281258326157531,0.45942688,0.4283142,10.286743
android.sensor.accelerometer,1538336260932,281258346024474,0.48335266,0.49531555,10.174286
android.sensor.accelerometer,1538336260953,281258365860900,0.48812866,0.5048828,10.0785675
android.sensor.accelerometer,1538336260976,281258385697326,0.50727844,0.55513,10.0785675
android.sensor.accelerometer,1538336260994,281258405533752,0.52163696,0.5312042,10.104889
android.sensor.accelerometer,1538336261013,281258425370177,0.5264282,0.5240326,10.1527405
android.sensor.accelerometer,1538336261035,281258445206603,0.5120697,0.52163696,10.13121
android.sensor.accelerometer,1538336261054,281258465043029,0.47138977,0.5264282,10.104889
android.sensor.accelerometer,1538336261073,281258484879455,0.47138977,0.5359955,10.040283
android.sensor.accelerometer,1538336261093,281258504715880,0.42114258,0.5359955,10.009171
android.sensor.accelerometer,1538336261111,281258524552306,0.40678406,0.51924133,9.990036
android.sensor.accelerometer,1538336261132,281258544388732,0.3254242,0.5168457,10.045074
android.sensor.accelerometer,1538336261155,281258564255675,0.30867004,0.45463562,10.183853
android.sensor.accelerometer,1538336261171,281258584092101,0.28953552,0.38523865,10.382462
android.sensor.accelerometer,1538336261192,281258603928527,0.2368927,0.34217834,10.463806
android.sensor.accelerometer,1538336261212,281258623795470,0.27278137,0.31585693,10.267609
android.sensor.accelerometer,1538336261232,281258643631896,0.25842285,0.45463562,10.001999
android.sensor.accelerometer,1538336261252,281258663468322,0.31825256,0.50727844,9.889542
android.sensor.accelerometer,1538336261275,281258683304748,0.30867004,0.5048828,10.011566
android.sensor.accelerometer,1538336261292,281258703141173,0.279953,0.45703125,10.159927
android.sensor.accelerometer,1538336261311,281258722977599,0.27757263,0.44506836,10.241287
android.sensor.accelerometer,1538336261331,281258742814025,0.29431152,0.47138977,10.214966
android.sensor.accelerometer,1538336261350,281258762650451,0.3637085,0.49531555,10.179062
android.sensor.accelerometer,1538336261368,281258782486877,0.32302856,0.5048828,10.143173
android.sensor.accelerometer,1538336261389,281258802323302,0.32302856,0.48335266,10.138397
android.sensor.accelerometer,1538336261408,281258822159728,0.31585693,0.49771118,10.203003
android.sensor.accelerometer,1538336261432,281258841996154,0.23449707,0.46420288,10.269989
android.sensor.accelerometer,1538336261448,281258861832580,0.22253418,0.4402771,10.284348
android.sensor.accelerometer,1538336261468,281258881669005,0.27038574,0.49291992,10.217346
android.sensor.accelerometer,1538336261489,281258901505431,0.32302856,0.5120697,10.095322
android.sensor.accelerometer,1538336261508,281258921372375,0.25842285,0.54556274,10.059433
android.sensor.accelerometer,1538336261528,281258941239318,0.19621277,0.47138977,10.159927
android.sensor.accelerometer,1538336261548,281258961075744,0.21534729,0.42591858,10.260422
android.sensor.accelerometer,1538336261568,281258980912169,0.30389404,0.44267273,10.246063
android.sensor.accelerometer,1538336261588,281259000748595,0.36131287,0.4905243,10.17189
android.sensor.accelerometer,1538336261607,281259020585021,0.32781982,0.5048828,10.104889
android.sensor.accelerometer,1538336261628,281259040421447,0.35414124,0.47616577,10.162323
android.sensor.accelerometer,1538336261647,281259060257873,0.33259583,0.45224,10.167099
android.sensor.accelerometer,1538336261667,281259080094298,0.31106567,0.44984436,10.1527405
android.sensor.accelerometer,1538336261687,281259099930724,0.33738708,0.45463562,10.164719
android.sensor.accelerometer,1538336261707,281259119767150,0.31106567,0.46899414,10.224533
android.sensor.accelerometer,1538336261726,281259139603576,0.37088013,0.44506836,10.286743
android.sensor.accelerometer,1538336261748,281259159440002,0.36610413,0.46899414,10.27478
android.sensor.accelerometer,1538336261766,281259179276427,0.3397827,0.48812866,10.17189
android.sensor.accelerometer,1538336261786,281259199143371,0.38285828,0.52163696,10.088135
android.sensor.accelerometer,1538336261806,281259218979796,0.44267273,0.54556274,10.104889
android.sensor.accelerometer,1538336261825,281259238816222,0.4402771,0.52163696,10.19342
android.sensor.accelerometer,1538336261845,281259258652648,0.3397827,0.46899414,10.269989
android.sensor.accelerometer,1538336261865,281259278489074,0.279953,0.43310547,10.229324
android.sensor.accelerometer,1538336261884,281259298356017,0.34217834,0.4665985,10.222137
android.sensor.accelerometer,1538336261906,281259318192443,0.3254242,0.4905243,10.121643
android.sensor.accelerometer,1538336261925,281259338028869,0.3062744,0.50727844,10.083359
android.sensor.accelerometer,1538336261944,281259357865294,0.27278137,0.47138977,10.157532
android.sensor.accelerometer,1538336261964,281259377701720,0.26081848,0.4402771,10.205383
android.sensor.accelerometer,1538336261984,281259397538146,0.22732544,0.4665985,10.188644
android.sensor.accelerometer,1538336262004,281259417374572,0.24885559,0.49291992,10.10968
android.sensor.accelerometer,1538336262024,281259437210998,0.3062744,0.5168457,10.128815
android.sensor.accelerometer,1538336262044,281259457047423,0.29193115,0.50727844,10.1527405
android.sensor.accelerometer,1538336262067,281259476883849,0.2416687,0.48812866,10.19104
android.sensor.accelerometer,1538336262083,281259496750793,0.31106567,0.48335266,10.301102
android.sensor.accelerometer,1538336262103,281259516587218,0.3254242,0.4665985,10.329819
android.sensor.accelerometer,1538336262123,281259536423644,0.26081848,0.46420288,10.186249
android.sensor.accelerometer,1538336262143,281259556260070,0.3062744,0.53359985,9.978073
android.sensor.accelerometer,1538336262164,281259576096496,0.37327576,0.6149597,9.853638
android.sensor.accelerometer,1538336262182,281259595932921,0.4091797,0.6006012,9.899109
android.sensor.accelerometer,1538336262202,281259615769347,0.35891724,0.5383911,10.0785675
android.sensor.accelerometer,1538336262223,281259635636291,0.29193115,0.48812866,10.29393
android.sensor.accelerometer,1538336262242,281259655472716,0.28953552,0.46420288,10.344177
android.sensor.accelerometer,1538336262262,281259675309142,0.36610413,0.51924133,10.248459
android.sensor.accelerometer,1538336262283,281259695145568,0.3756714,0.55752563,10.145569
android.sensor.accelerometer,1538336262302,281259714981994,0.35414124,0.5479584,10.126419
android.sensor.accelerometer,1538336262323,281259734818419,0.3062744,0.5312042,10.217346
android.sensor.accelerometer,1538336262343,281259754654845,0.2416687,0.4737854,10.31546
android.sensor.accelerometer,1538336262362,281259774521789,0.22732544,0.4091797,10.346573
android.sensor.accelerometer,1538336262382,281259794358214,0.1986084,0.45703125,10.195816
android.sensor.accelerometer,1538336262402,281259814194640,0.29910278,0.5168457,9.999603
android.sensor.accelerometer,1538336262422,281259834031066,0.35891724,0.5814514,9.980469
android.sensor.accelerometer,1538336262440,281259853867492,0.33021545,0.5312042,10.136002
android.sensor.accelerometer,1538336262461,281259873703918,0.26081848,0.44506836,10.27478
android.sensor.accelerometer,1538336262480,281259893540343,0.279953,0.45463562,10.260422
android.sensor.accelerometer,1538336262500,281259913376769,0.3756714,0.53359985,10.1479645
android.sensor.accelerometer,1538336262521,281259933213195,0.3517456,0.55274963,10.033112
android.sensor.accelerometer,1538336262540,281259953049621,0.30389404,0.5359955,10.013962
android.sensor.accelerometer,1538336262559,281259972886046,0.36131287,0.54556274,10.018753
android.sensor.accelerometer,1538336262581,281259992722472,0.38046265,0.5670929,10.100098
android.sensor.accelerometer,1538336262599,281260012589416,0.3517456,0.52163696,10.126419
android.sensor.accelerometer,1538336262619,281260032425841,0.279953,0.50727844,10.203003
android.sensor.accelerometer,1538336262641,281260052262267,0.28953552,0.46420288,10.284348
android.sensor.accelerometer,1538336262659,281260072129210,0.35653687,0.49291992,10.303497
android.sensor.accelerometer,1538336262678,281260091965636,0.37806702,0.5479584,10.231705
android.sensor.accelerometer,1538336262699,281260111802062,0.35653687,0.550354,10.1479645
android.sensor.accelerometer,1538336262718,281260131638488,0.3254242,0.55992126,10.1766815
android.sensor.accelerometer,1538336262739,281260151474914,0.34695435,0.5479584,10.265213
android.sensor.accelerometer,1538336262759,281260171311339,0.31106567,0.5264282,10.346573
android.sensor.accelerometer,1538336262779,281260191147765,0.31585693,0.5312042,10.279572
android.sensor.accelerometer,1538336262798,281260210984191,0.30867004,0.55752563,10.162323
android.sensor.accelerometer,1538336262818,281260230820617,0.32781982,0.5862427,10.076172
android.sensor.accelerometer,1538336262838,281260250657043,0.34695435,0.5886383,10.085754
android.sensor.accelerometer,1538336262858,281260270493468,0.279953,0.5479584,10.138397
android.sensor.accelerometer,1538336262878,281260290329894,0.25125122,0.52163696,10.198212
android.sensor.accelerometer,1538336262897,281260310166320,0.25842285,0.5024872,10.205383
android.sensor.accelerometer,1538336262917,281260330002746,0.2679901,0.51924133,10.140778
android.sensor.accelerometer,1538336262937,281260349869689,0.3134613,0.5407715,10.095322
android.sensor.accelerometer,1538336262957,281260369736632,0.29670715,0.5407715,10.133606
android.sensor.accelerometer,1538336262976,281260389573058,0.25842285,0.49771118,10.238892
android.sensor.accelerometer,1538336262997,281260409409484,0.29193115,0.5001068,10.210175
android.sensor.accelerometer,1538336263016,281260429245910,0.32781982,0.5862427,10.114456
android.sensor.accelerometer,1538336263036,281260449082335,0.32781982,0.6269226,10.013962
android.sensor.accelerometer,1538336263056,281260468918761,0.33738708,0.6053772,10.164719
android.sensor.accelerometer,1538336263075,281260488755187,0.26560974,0.54556274,10.265213
android.sensor.accelerometer,1538336263095,281260508591613,0.2679901,0.55752563,10.320251
android.sensor.accelerometer,1538336263116,281260528428039,0.30867004,0.61016846,10.174286
android.sensor.accelerometer,1538336263135,281260548264464,0.33499146,0.65563965,10.02832
android.sensor.accelerometer,1538336263155,281260568100890,0.30867004,0.6628113,9.970886
android.sensor.accelerometer,1538336263175,281260587937316,0.275177,0.6125641,10.016357
android.sensor.accelerometer,1538336263195,281260607773742,0.3062744,0.59103394,10.1766815
android.sensor.accelerometer,1538336263214,281260627640685,0.3014984,0.5623169,10.27478
android.sensor.accelerometer,1538336263235,281260647477111,0.2632141,0.5168457,10.322632
android.sensor.accelerometer,1538336263254,281260667313537,0.2416687,0.5120697,10.262817
android.sensor.accelerometer,1538336263274,281260687149962,0.2536316,0.5359955,10.217346
android.sensor.accelerometer,1538336263294,281260706986388,0.29193115,0.5647125,10.162323
android.sensor.accelerometer,1538336263313,281260726853332,0.28234863,0.5694885,10.126419
android.sensor.accelerometer,1538336263333,281260746689757,0.21774292,0.55752563,10.088135
android.sensor.accelerometer,1538336263354,281260766526183,0.22253418,0.5407715,10.085754
android.sensor.accelerometer,1538336263373,281260786362609,0.3014984,0.55992126,10.138397
android.sensor.accelerometer,1538336263393,281260806199035,0.35414124,0.5623169,10.203003
android.sensor.accelerometer,1538336263413,281260826035460,0.3134613,0.5479584,10.1766815
android.sensor.accelerometer,1538336263433,281260845871886,0.25125122,0.55274963,10.1527405
android.sensor.accelerometer,1538336263452,281260865708312,0.3062744,0.57188416,10.138397
android.sensor.accelerometer,1538336263473,281260885544738,0.41156006,0.61016846,10.219742
android.sensor.accelerometer,1538336263498,281260905381164,0.42591858,0.59580994,10.25325
android.sensor.accelerometer,1538336263512,281260925248107,0.34934998,0.5790558,10.258026
android.sensor.accelerometer,1538336263530,281260945084533,0.28234863,0.59820557,10.157532
android.sensor.accelerometer,1538336263551,281260964920959,0.3014984,0.6269226,10.100098
android.sensor.accelerometer,1538336263571,281260984757384,0.33738708,0.63648987,10.088135
android.sensor.accelerometer,1538336263592,281261004593810,0.279953,0.6077728,10.033112
android.sensor.accelerometer,1538336263612,281261024430236,0.21774292,0.5934143,10.042679
android.sensor.accelerometer,1538336263636,281261044266662,0.20817566,0.55752563,10.126419
android.sensor.accelerometer,1538336263656,281261064103087,0.25125122,0.5288086,10.174286
android.sensor.accelerometer,1538336263672,281261083970031,0.19142151,0.5024872,10.203003
android.sensor.accelerometer,1538336263692,281261103806457,0.2416687,0.45463562,10.243668
android.sensor.accelerometer,1538336263711,281261123642882,0.275177,0.46899414,10.25325
android.sensor.accelerometer,1538336263730,281261143479308,0.23449707,0.44506836,10.224533
android.sensor.accelerometer,1538336263751,281261163315734,0.17945862,0.44984436,10.198212
android.sensor.accelerometer,1538336263772,281261183152160,0.22970581,0.47138977,10.241287
android.sensor.accelerometer,1538336263796,281261203019103,0.29910278,0.44984436,10.262817
android.sensor.accelerometer,1538336263813,281261222855529,0.33021545,0.4857483,10.1766815
android.sensor.accelerometer,1538336263832,281261242691955,0.41156006,0.55992126,10.061813
android.sensor.accelerometer,1538336263850,281261262528380,0.3900299,0.6053772,10.095322
android.sensor.accelerometer,1538336263871,281261282364806,0.32781982,0.5407715,10.241287
android.sensor.accelerometer,1538336263893,281261302201232,0.25842285,0.47138977,10.322632
android.sensor.accelerometer,1538336263915,281261322037658,0.30867004,0.5144501,10.269989
android.sensor.accelerometer,1538336263934,281261341874084,0.4091797,0.5790558,10.107285
android.sensor.accelerometer,1538336263956,281261361710509,0.32063293,0.59580994,9.923035
android.sensor.accelerometer,1538336263974,281261381546935,0.27757263,0.55274963,9.872787
android.sensor.accelerometer,1538336263990,281261401383361,0.33499146,0.52163696,9.997208
android.sensor.accelerometer,1538336264015,281261421219787,0.32302856,0.44984436,10.1814575
android.sensor.accelerometer,1538336264033,281261441056212,0.279953,0.36131287,10.31546
android.sensor.accelerometer,1538336264054,281261460923156,0.22732544,0.31585693,10.303497
android.sensor.accelerometer,1538336264074,281261480759582,0.21296692,0.35414124,10.169495
android.sensor.accelerometer,1538336264093,281261500626525,0.275177,0.4402771,10.040283
android.sensor.accelerometer,1538336264113,281261520462951,0.37088013,0.48335266,10.097717
android.sensor.accelerometer,1538336264134,281261540299377,0.41635132,0.45942688,10.162323
android.sensor.accelerometer,1538336264155,281261560135802,0.32063293,0.41156006,10.200607
android.sensor.accelerometer,1538336264165,281261579972228,0.19381714,0.3900299,10.487747
android.sensor.accelerometer,1538336264185,281261599808654,0.2536316,0.48095703,10.368103
android.sensor.accelerometer,1538336264204,281261619645080,0.35414124,0.5264282,10.033112
android.sensor.accelerometer,1538336264224,281261639481505,0.36849976,0.6197357,9.92543
android.sensor.accelerometer,1538336264244,281261659317931,0.46899414,0.58384705,9.978073
android.sensor.accelerometer,1538336264265,281261679154357,0.37806702,0.5407715,10.301102
