Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336260411,281257810318908,0.008026123,0.018676758,-0.004470825
android.sensor.gyroscope,1538336260416,281257830155334,0.036132812,0.016860962,0.0016326904
android.sensor.gyroscope,1538336260434,281257850022277,0.036132812,0.0021972656,0.0028533936
android.sensor.gyroscope,1538336260457,281257869858703,0.013519287,-0.0014648438,-0.008758545
android.sensor.gyroscope,1538336260475,281257889695128,-0.014556885,0.004638672,-0.019744873
android.sensor.gyroscope,1538336260498,281257909531554,-0.03288269,9.765625E-4,-0.015472412
android.sensor.gyroscope,1538336260517,281257929367980,-0.019454956,-0.007583618,-1.9836426E-4
android.sensor.gyroscope,1538336260537,281257949204406,0.021469116,0.013183594,0.0059051514
android.sensor.gyroscope,1538336260558,281257969040832,0.04284668,0.022354126,-0.003250122
android.sensor.gyroscope,1538336260580,281257988877257,0.017807007,0.011962891,-0.012420654
android.sensor.gyroscope,1538336260596,281258008713683,-0.028625488,0.014419556,-0.022201538
android.sensor.gyroscope,1538336260619,281258028550109,-0.05366516,0.021743774,-0.013641357
android.sensor.gyroscope,1538336260636,281258048386535,-0.04083252,0.030288696,0.0071258545
android.sensor.gyroscope,1538336260655,281258068253478,7.6293945E-5,0.027236938,0.0071258545
android.sensor.gyroscope,1538336260677,281258088089904,0.031234741,0.0107421875,-0.0056915283
android.sensor.gyroscope,1538336260697,281258107926330,0.03062439,-0.0026855469,-0.0105896
android.sensor.gyroscope,1538336260723,281258127762755,0.01473999,0.013183594,-0.003250122
android.sensor.gyroscope,1538336260735,281258147599181,0.002532959,0.020523071,0.0052948
android.sensor.gyroscope,1538336260806,281258167435607,0.011688232,0.01991272,0.012008667
android.sensor.gyroscope,1538336260806,281258187272033,0.031845093,0.005859375,0.020568848
android.sensor.gyroscope,1538336260806,281258207138976,0.045898438,-0.01979065,0.02482605
android.sensor.gyroscope,1538336260815,281258226975402,0.042236328,-0.038726807,0.026046753
android.sensor.gyroscope,1538336260833,281258246811828,0.019638062,-0.025283813,0.015670776
android.sensor.gyroscope,1538336260854,281258266648253,-0.0011444092,-0.011245728,0.0071258545
android.sensor.gyroscope,1538336260875,281258286484679,0.008026123,-0.02835083,0.015670776
android.sensor.gyroscope,1538336260893,281258306321105,0.04650879,-0.04421997,0.024230957
android.sensor.gyroscope,1538336260914,281258326157531,0.089279175,-0.035064697,0.03338623
android.sensor.gyroscope,1538336260932,281258346024474,0.10272217,-0.014907837,0.035217285
android.sensor.gyroscope,1538336260953,281258365860900,0.08377075,0.005859375,0.033996582
android.sensor.gyroscope,1538336260977,281258385697326,0.053237915,0.0076904297,0.031555176
android.sensor.gyroscope,1538336260994,281258405533752,0.03062439,-0.0045318604,0.018737793
android.sensor.gyroscope,1538336261013,281258425370177,0.022079468,-0.0063476562,0.006515503
android.sensor.gyroscope,1538336261035,281258445206603,0.022079468,0.013183594,0.0016326904
android.sensor.gyroscope,1538336261057,281258465043029,0.020248413,0.02784729,-0.0063171387
android.sensor.gyroscope,1538336261073,281258484879455,0.011077881,0.052886963,-0.013031006
android.sensor.gyroscope,1538336261093,281258504715880,-0.023117065,0.12313843,-0.016082764
android.sensor.gyroscope,1538336261111,281258524552306,-0.08358765,0.17140198,-0.014251709
android.sensor.gyroscope,1538336261132,281258544388732,-0.14344788,0.20256042,-0.014862061
android.sensor.gyroscope,1538336261155,281258564255675,-0.16545105,0.16041565,-0.015472412
android.sensor.gyroscope,1538336261171,281258584092101,-0.12390137,0.07305908,-0.025253296
android.sensor.gyroscope,1538336261193,281258603928527,-0.029846191,-0.033233643,-0.037460327
android.sensor.gyroscope,1538336261212,281258623795470,0.085617065,-0.074157715,-0.033798218
android.sensor.gyroscope,1538336261232,281258643631896,0.14118958,-0.020401001,-0.0105896
android.sensor.gyroscope,1538336261252,281258663468322,0.09049988,0.0034179688,0.006515503
android.sensor.gyroscope,1538336261275,281258683304748,-0.004180908,-0.010025024,-0.0038757324
android.sensor.gyroscope,1538336261292,281258703141173,-0.05671692,-0.009399414,-0.007537842
android.sensor.gyroscope,1538336261312,281258722977599,-0.043273926,-0.010620117,0.0016326904
android.sensor.gyroscope,1538336261332,281258742814025,0.0043640137,-0.024673462,0.008346558
android.sensor.gyroscope,1538336261350,281258762650451,0.04345703,-0.029571533,0.011413574
android.sensor.gyroscope,1538336261368,281258782486877,0.04650879,-0.024673462,0.002243042
android.sensor.gyroscope,1538336261389,281258802323302,0.020858765,-0.01184082,4.119873E-4
android.sensor.gyroscope,1538336261408,281258822159728,-0.010894775,0.004638672,-8.087158E-4
android.sensor.gyroscope,1538336261432,281258841996154,-0.034118652,0.013793945,-0.003250122
android.sensor.gyroscope,1538336261448,281258861832580,-0.029220581,0.014419556,0.0052948
android.sensor.gyroscope,1538336261468,281258881669005,0.0031433105,0.026016235,0.019348145
android.sensor.gyroscope,1538336261489,281258901505431,0.023910522,0.062057495,0.014450073
android.sensor.gyroscope,1538336261508,281258921372375,0.0013122559,0.07672119,0.0034637451
android.sensor.gyroscope,1538336261528,281258941239318,-0.030441284,0.013183594,-0.003250122
android.sensor.gyroscope,1538336261548,281258961075744,-0.026168823,-0.03567505,4.119873E-4
android.sensor.gyroscope,1538336261569,281258980912169,0.009246826,-0.01979065,0.022384644
android.sensor.gyroscope,1538336261588,281259000748595,0.036743164,0.0052490234,0.027893066
android.sensor.gyroscope,1538336261609,281259020585021,0.031234741,-0.0014648438,0.01689148
android.sensor.gyroscope,1538336261628,281259040421447,0.015960693,-0.017959595,0.011413574
android.sensor.gyroscope,1538336261648,281259060257873,0.0074157715,-0.01612854,0.0071258545
android.sensor.gyroscope,1538336261668,281259080094298,0.009246826,-0.00390625,0.010177612
android.sensor.gyroscope,1538336261695,281259099930724,0.0031433105,-0.0026855469,0.011413574
