Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336226674,281224081877894,0.8063812,0.7920227,10.186249
android.sensor.accelerometer,1538336226690,281224101714320,1.1724854,0.7657013,10.121643
android.sensor.accelerometer,1538336226706,281224121550745,1.3686981,0.72502136,10.092926
android.sensor.accelerometer,1538336226726,281224141387171,1.3256226,0.5886383,10.121643
android.sensor.accelerometer,1538336226746,281224161223597,1.3543396,0.41874695,10.224533
android.sensor.accelerometer,1538336226766,281224181060023,1.3902283,0.24406433,10.375275
android.sensor.accelerometer,1538336226789,281224200896449,1.4667969,-0.03111267,10.68634
android.sensor.accelerometer,1538336226809,281224220732874,1.6366882,-0.33738708,10.939987
android.sensor.accelerometer,1538336226828,281224240569300,2.1104736,-0.36849976,11.004593
android.sensor.accelerometer,1538336226850,281224260436244,2.4047852,-0.31106567,10.68634
android.sensor.accelerometer,1538336226868,281224280272669,2.273178,-0.18664551,10.48056
android.sensor.accelerometer,1538336226887,281224300139613,1.804184,-0.08375549,10.39682
android.sensor.accelerometer,1538336226908,281224319976038,1.3088684,-0.275177,10.45903
android.sensor.accelerometer,1538336226927,281224339812464,1.0576324,-0.6628113,10.679169
android.sensor.accelerometer,1538336226947,281224359648890,1.3543396,-1.0935211,11.294128
android.sensor.accelerometer,1538336226967,281224379485316,2.0697937,-1.2155609,11.758331
android.sensor.accelerometer,1538336226986,281224399321742,3.0293121,-1.0408783,11.95694
android.sensor.accelerometer,1538336227006,281224419158167,3.8620148,-0.79441833,11.923431
android.sensor.accelerometer,1538336227027,281224438994593,4.187439,-0.5383911,11.971298
android.sensor.accelerometer,1538336227085,281224458831019,4.433899,-0.31825256,12.291931
android.sensor.accelerometer,1538336227085,281224478667445,4.3262177,-0.1603241,12.768097
android.sensor.accelerometer,1538336227085,281224498503870,4.72583,0.050247192,13.241882
android.sensor.accelerometer,1538336227103,281224518340296,5.2259216,0.33499146,13.715652
android.sensor.accelerometer,1538336227125,281224538176722,5.7260284,0.5934143,14.617752
android.sensor.accelerometer,1538336227145,281224558013148,5.6973114,0.7010956,15.448059
android.sensor.accelerometer,1538336227165,281224577880091,5.1015015,0.8111725,15.531815
android.sensor.accelerometer,1538336227185,281224597716517,4.967499,1.2322998,15.708878
android.sensor.accelerometer,1538336227206,281224617583460,4.749756,1.6319122,16.115662
android.sensor.accelerometer,1538336227222,281224637419886,4.2879333,2.0985107,16.065414
android.sensor.accelerometer,1538336227243,281224657256312,3.9553375,2.2660065,15.16571
android.sensor.accelerometer,1538336227272,281224677092738,3.0053864,3.3092804,15.445663
android.sensor.accelerometer,1538336227285,281224696929163,2.4693909,3.4839478,15.670593
android.sensor.accelerometer,1538336227304,281224716765589,1.8831482,4.3262177,14.945572
android.sensor.accelerometer,1538336227323,281224736602015,2.0626068,4.792816,13.483551
android.sensor.accelerometer,1538336227343,281224756438441,1.832901,4.8478546,11.858826
android.sensor.accelerometer,1538336227364,281224776274867,1.0695953,4.58226,10.743774
android.sensor.accelerometer,1538336227383,281224796111292,1.9333954,4.721039,8.817551
android.sensor.accelerometer,1538336227405,281224815947718,2.7637177,4.9172516,6.4342957
android.sensor.accelerometer,1538336227424,281224835784144,2.4622192,4.474579,5.2163544
android.sensor.accelerometer,1538336227443,281224855620570,1.5026855,3.826126,3.5557404
android.sensor.accelerometer,1538336227462,281224875487513,0.57188416,3.2566376,1.6749725
android.sensor.accelerometer,1538336227480,281224895323939,-0.29910278,2.6105652,-0.95951843
android.sensor.accelerometer,1538336227500,281224915160365,-2.7158508,1.8376923,-2.7828522
android.sensor.accelerometer,1538336227523,281224934996790,-5.46521,1.4021912,-4.845459
android.sensor.accelerometer,1538336227540,281224954863734,-7.898712,1.2873383,-5.4006042
android.sensor.accelerometer,1538336227561,281224974700160,-9.300903,0.7393799,-5.9030914
android.sensor.accelerometer,1538336227582,281224994536585,-10.31546,-0.007171631,-5.1182404
android.sensor.accelerometer,1538336227602,281225014373011,-10.719849,-0.8183441,-3.768692
android.sensor.accelerometer,1538336227622,281225034209437,-10.291534,-1.660614,-1.7754669
android.sensor.accelerometer,1538336227638,281225054045863,-9.056839,-2.6488495,-0.35891724
