Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336226674,281224081877894,-0.38352966,-0.4956665,-1.0276794
android.sensor.gyroscope,1538336226690,281224101714320,-0.3792572,-0.5634613,-1.0454102
android.sensor.gyroscope,1538336226706,281224121550745,-0.38964844,-0.6239319,-1.1315308
android.sensor.gyroscope,1538336226726,281224141387171,-0.43118286,-0.63005066,-1.2341614
android.sensor.gyroscope,1538336226746,281224161223597,-0.49287415,-0.56529236,-1.3031921
android.sensor.gyroscope,1538336226766,281224181060023,-0.54418945,-0.50665283,-1.3502197
android.sensor.gyroscope,1538336226789,281224200896449,-0.5973358,-0.4767151,-1.3838196
android.sensor.gyroscope,1538336226809,281224220732874,-0.59794617,-0.4938202,-1.3990936
android.sensor.gyroscope,1538336226828,281224240569300,-0.5344238,-0.5866852,-1.4088745
android.sensor.gyroscope,1538336226851,281224260436244,-0.46232605,-0.669754,-1.4840088
android.sensor.gyroscope,1538336226868,281224280272669,-0.51608276,-0.5475769,-1.5896912
android.sensor.gyroscope,1538336226888,281224300139613,-0.63642883,-0.2641449,-1.6752014
android.sensor.gyroscope,1538336226908,281224319976038,-0.72073364,-0.090652466,-1.7405701
android.sensor.gyroscope,1538336226927,281224339812464,-0.74150085,-0.16456604,-1.7705078
android.sensor.gyroscope,1538336226947,281224359648890,-0.72439575,-0.40402222,-1.7320251
android.sensor.gyroscope,1538336226967,281224379485316,-0.63520813,-0.6392212,-1.6513824
android.sensor.gyroscope,1538336226986,281224399321742,-0.4947052,-0.79315186,-1.620224
android.sensor.gyroscope,1538336227006,281224419158167,-0.3743744,-0.90249634,-1.6807098
android.sensor.gyroscope,1538336227027,281224438994593,-0.34687805,-0.89027405,-1.7937164
android.sensor.gyroscope,1538336227085,281224458831019,-0.39146423,-0.77848816,-1.9140625
android.sensor.gyroscope,1538336227085,281224478667445,-0.40612793,-0.720459,-2.050888
android.sensor.gyroscope,1538336227085,281224498503870,-0.32733154,-0.8151398,-2.154129
android.sensor.gyroscope,1538336227103,281224518340296,-0.19110107,-1.0240631,-2.2634888
android.sensor.gyroscope,1538336227126,281224538176722,-0.048171997,-1.381424,-2.427185
android.sensor.gyroscope,1538336227148,281224558013148,0.19067383,-1.8322449,-2.6788635
android.sensor.gyroscope,1538336227165,281224577880091,0.5523071,-2.1810455,-2.8859558
android.sensor.gyroscope,1538336227185,281224597716517,0.8937988,-2.3533173,-2.9213867
android.sensor.gyroscope,1538336227208,281224617583460,1.260315,-2.5848389,-2.9384918
android.sensor.gyroscope,1538336227223,281224637419886,1.7202911,-2.8695068,-2.9739227
