Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336129977,281127380003447,1.3184509,2.4143524,9.997208
android.sensor.accelerometer,1538336130001,281127399839872,1.2322998,2.3641052,10.018753
android.sensor.accelerometer,1538336130004,281127419676298,1.1700897,2.4263153,9.954147
android.sensor.accelerometer,1538336130027,281127439512724,1.1222382,2.4933167,9.9015045
android.sensor.accelerometer,1538336130044,281127459349150,1.1222382,2.5220337,9.879959
android.sensor.accelerometer,1538336130065,281127479185576,1.0624084,2.5244293,9.856033
android.sensor.accelerometer,1538336130086,281127499052519,1.1581268,2.5339966,9.913467
android.sensor.accelerometer,1538336130112,281127518888945,1.2394867,2.498108,9.817749
android.sensor.accelerometer,1538336130127,281127538725370,1.2155609,2.6967163,9.681366
android.sensor.accelerometer,1538336130148,281127558561796,1.2562256,2.8043823,9.482758
android.sensor.accelerometer,1538336130167,281127578428740,1.3615112,2.7637177,9.470795
android.sensor.accelerometer,1538336130187,281127598265165,1.380661,2.7278137,9.647858
android.sensor.accelerometer,1538336130207,281127618101591,1.450058,2.6943207,9.934998
android.sensor.accelerometer,1538336130226,281127637938017,1.5170441,2.725418,10.236496
android.sensor.accelerometer,1538336130246,281127657774443,1.7611237,2.8139648,10.451843
android.sensor.accelerometer,1538336130267,281127677610868,3.036499,2.9407806,10.698303
android.sensor.accelerometer,1538336130292,281127697447294,2.6895294,4.101303,10.676773
android.sensor.accelerometer,1538336130306,281127717283720,3.8859406,3.797409,10.942383
android.sensor.accelerometer,1538336130330,281127737120146,6.580261,4.216156,10.6289215
android.sensor.accelerometer,1538336130345,281127756956572,10.167099,5.0105743,8.8367
android.sensor.accelerometer,1538336130410,281127776792997,12.361328,5.3288116,8.621338
android.sensor.accelerometer,1538336130410,281127796659941,15.895523,5.572891,9.0711975
android.sensor.accelerometer,1538336130410,281127816496367,18.561127,5.8289185,9.659821
android.sensor.accelerometer,1538336130422,281127836332792,19.200012,5.2570343,9.583252
android.sensor.accelerometer,1538336130443,281127856169218,19.664215,5.149353,6.620941
android.sensor.accelerometer,1538336130463,281127876036161,19.965714,5.3694916,1.9932251
android.sensor.accelerometer,1538336130483,281127895872587,18.932007,4.926819,-0.624527
android.sensor.accelerometer,1538336130503,281127915709013,17.010574,4.1324005,0.21774292
android.sensor.accelerometer,1538336130523,281127935545439,15.091537,3.2183533,-0.011962891
android.sensor.accelerometer,1538336130547,281127955381865,13.5673065,2.6679993,-1.3902283
android.sensor.accelerometer,1538336130568,281127975218290,11.648254,2.1032867,-3.172882
android.sensor.accelerometer,1538336130581,281127995054716,10.698303,1.6510468,-4.610962
android.sensor.accelerometer,1538336130603,281128014891142,9.676575,1.0480499,-5.419739
android.sensor.accelerometer,1538336130625,281128034727568,9.047256,0.64367676,-3.7495575
android.sensor.accelerometer,1538336130643,281128054563993,8.630905,0.4355011,-1.8161469
android.sensor.accelerometer,1538336130662,281128074430937,7.314865,-0.2536316,-1.1437683
