Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336115133,281112539173718,0.0031433105,-0.061935425,-0.2066803
android.sensor.gyroscope,1538336115158,281112559040661,0.026351929,-0.04727173,-0.1773529
android.sensor.gyroscope,1538336115164,281112578877087,0.0513916,-0.03138733,-0.15414429
android.sensor.gyroscope,1538336115184,281112598713513,0.10209656,-0.010620117,-0.14743042
android.sensor.gyroscope,1538336115204,281112618549939,0.15158081,-0.05644226,-0.17063904
android.sensor.gyroscope,1538336115223,281112638386365,0.12774658,-0.082092285,-0.19445801
android.sensor.gyroscope,1538336115244,281112658222790,0.033065796,-0.06254578,-0.18284607
android.sensor.gyroscope,1538336115265,281112678059216,-0.032287598,-0.04849243,-0.1565857
android.sensor.gyroscope,1538336115288,281112697926160,0.012298584,-0.030166626,-0.16331482
android.sensor.gyroscope,1538336115307,281112717762585,0.097213745,-0.009399414,-0.18040466
android.sensor.gyroscope,1538336115325,281112737599011,0.11431885,-0.03994751,-0.16085815
android.sensor.gyroscope,1538336115344,281112757435437,0.092941284,-0.09309387,-0.12359619
android.sensor.gyroscope,1538336115365,281112777271863,0.12104797,-0.098587036,-0.10221863
android.sensor.gyroscope,1538336115384,281112797108288,0.20655823,-0.110198975,-0.07106018
android.sensor.gyroscope,1538336115404,281112816975232,0.36538696,-0.2311554,-0.11566162
android.sensor.gyroscope,1538336115424,281112836811658,0.61950684,-0.55062866,-0.1565857
android.sensor.gyroscope,1538336115443,281112856648083,0.93104553,-1.1193542,-0.15231323
android.sensor.gyroscope,1538336115465,281112876484509,1.23526,-1.9263153,-0.2531128
android.sensor.gyroscope,1538336115485,281112896320935,1.4234161,-2.96846,-0.16941833
android.sensor.gyroscope,1538336115502,281112916157361,1.8394165,-3.3203125,-0.38749695
android.sensor.gyroscope,1538336115521,281112935993786,2.231598,-3.8554535,-1.0258636
android.sensor.gyroscope,1538336115554,281112955830212,2.0025177,-4.178589,-1.3972626
android.sensor.gyroscope,1538336115562,281112975666638,1.6573792,-4.685608,-1.7686615
android.sensor.gyroscope,1538336115581,281112995533581,1.5914001,-5.462036,-2.2054443
android.sensor.gyroscope,1538336115601,281113015370007,1.6219482,-6.3526764,-2.4638367
android.sensor.gyroscope,1538336115621,281113035206433,1.6976929,-7.2494354,-2.6697083
android.sensor.gyroscope,1538336115641,281113055042859,1.7453461,-8.282425,-3.0655518
android.sensor.gyroscope,1538336115661,281113074879285,1.3989868,-9.262878,-3.3825836
android.sensor.gyroscope,1538336115683,281113094715710,1.0068054,-10.162079,-3.3208923
android.sensor.gyroscope,1538336115702,281113114582654,0.88279724,-11.166351,-3.1217499
android.sensor.gyroscope,1538336115723,281113134419079,0.8455353,-11.592728,-2.681305
android.sensor.gyroscope,1538336115746,281113154255505,0.40875244,-11.105255,-2.2494202
android.sensor.gyroscope,1538336115761,281113174091931,-0.46905518,-10.160233,-1.6147308
android.sensor.gyroscope,1538336115781,281113193928357,-1.3291626,-9.221329,-0.7576752
android.sensor.gyroscope,1538336115802,281113213764783,-1.9827881,-8.57869,0.030334473
android.sensor.gyroscope,1538336115823,281113233586012,-2.3059387,-8.2512665,0.69007874
android.sensor.gyroscope,1538336115841,281113253422438,-2.326706,-7.497452,1.3107147
android.sensor.gyroscope,1538336115862,281113273289381,-2.1929321,-6.6019135,1.9527435
android.sensor.gyroscope,1538336115882,281113293125807,-1.8117371,-5.9525604,2.6283722
android.sensor.gyroscope,1538336115902,281113312962233,-1.7054596,-4.982498,3.1341705
android.sensor.gyroscope,1538336115922,281113332798659,-1.8129578,-4.0655823,3.5477142
android.sensor.gyroscope,1538336115942,281113352635085,-1.7219543,-3.234192,4.18425
android.sensor.gyroscope,1538336115961,281113372471510,-1.8123627,-2.8029175,4.8415527
android.sensor.gyroscope,1538336115982,281113392338454,-2.0005035,-2.9128723,4.9417267
android.sensor.gyroscope,1538336116001,281113412174880,-2.2008667,-2.5720062,4.76091
android.sensor.gyroscope,1538336116022,281113432011305,-2.2747955,-2.4217377,4.6631775
android.sensor.gyroscope,1538336116042,281113451847731,-2.1678925,-2.3459778,4.7822876
android.sensor.gyroscope,1538336116060,281113471684157,-2.3609161,-1.6709747,5.096283
android.sensor.gyroscope,1538336116080,281113491520583,-2.69812,-1.1670074,5.3021393
android.sensor.gyroscope,1538336116101,281113511357008,-3.0175934,-0.6660919,5.369339
android.sensor.gyroscope,1538336116120,281113531193434,-3.0609741,-0.27330017,5.2434998
android.sensor.gyroscope,1538336116140,281113551029860,-2.823349,-0.35821533,4.8604736
android.sensor.gyroscope,1538336116160,281113570896803,-2.4177246,-0.77238464,4.3186493
android.sensor.gyroscope,1538336116179,281113590733229,-1.4091797,-1.3753204,3.8256683
android.sensor.gyroscope,1538336116199,281113610569655,-0.11230469,-1.7302246,3.442047
android.sensor.gyroscope,1538336116219,281113630406081,0.9438782,-1.4877014,3.1482086
android.sensor.gyroscope,1538336116239,281113650242506,1.6708069,-0.7754364,3.0920105
android.sensor.gyroscope,1538336116259,281113670109450,2.3751526,-0.3142395,3.1274414
android.sensor.gyroscope,1538336116279,281113689945876,3.3867493,-0.21832275,3.1983032
android.sensor.gyroscope,1538336116300,281113709782301,4.612152,0.18484497,3.4035645
android.sensor.gyroscope,1538336116320,281113729618727,5.797241,0.7541809,3.6570587
android.sensor.gyroscope,1538336116338,281113749455153,6.8131256,1.168335,3.8159027
android.sensor.gyroscope,1538336116358,281113769291579,7.6322937,1.686966,3.938675
android.sensor.gyroscope,1538336116378,281113789128005,8.438034,2.1194763,4.079178
android.sensor.gyroscope,1538336116398,281113808964430,9.243164,2.6955109,4.456085
android.sensor.gyroscope,1538336116418,281113828800856,9.9133,2.595337,4.984482
android.sensor.gyroscope,1538336116436,281113848667799,10.497894,1.1720123,4.8513184
android.sensor.gyroscope,1538336116457,281113868504225,11.005524,0.61550903,4.462799
android.sensor.gyroscope,1538336116476,281113888340651,11.882126,1.5635834,4.275879
android.sensor.gyroscope,1538336116498,281113908177077,13.347,2.2862396,4.310089
android.sensor.gyroscope,1538336116518,281113928013503,14.6175995,2.341217,4.396225
android.sensor.gyroscope,1538336116537,281113947880446,15.051315,1.6710815,4.2734375
android.sensor.gyroscope,1538336116557,281113967716872,14.798416,0.7853241,3.6289673
android.sensor.gyroscope,1538336116578,281113987553298,13.970688,1.4792786,2.8049011
android.sensor.gyroscope,1538336116596,281114007389723,12.560806,3.6038818,2.1885376
android.sensor.gyroscope,1538336116616,281114027226149,11.176575,5.2117004,1.6821136
android.sensor.gyroscope,1538336116637,281114047062575,9.750198,5.587387,1.528183
android.sensor.gyroscope,1538336116656,281114066899001,8.00676,4.395569,1.465271
android.sensor.gyroscope,1538336116676,281114086735426,6.781357,2.7108002,1.4958038
android.sensor.gyroscope,1538336116698,281114106571852,6.133835,1.5049438,1.3430939
android.sensor.gyroscope,1538336116715,281114126408278,5.163162,0.85435486,0.7334442
android.sensor.gyroscope,1538336116734,281114146275221,3.7294464,0.8769684,-0.21705627
android.sensor.gyroscope,1538336116757,281114166111647,2.2755737,1.0565491,-1.0563965
android.sensor.gyroscope,1538336116775,281114185948073,0.9359436,1.1995087,-1.2640991
android.sensor.gyroscope,1538336116797,281114205784499,0.1784668,1.0596161,-1.077774
android.sensor.gyroscope,1538336116816,281114225620924,-0.25830078,0.4139099,-0.87557983
android.sensor.gyroscope,1538336116835,281114245487868,-0.91682434,-0.135849,-0.7839508
android.sensor.gyroscope,1538336116855,281114265324294,-1.6645203,-0.4015808,-0.84687805
android.sensor.gyroscope,1538336116875,281114285160719,-2.3480835,-0.35821533,-0.9837036
android.sensor.gyroscope,1538336116895,281114304997145,-2.9687347,-0.19145203,-1.0845032
android.sensor.gyroscope,1538336116915,281114324833571,-3.4366608,-0.17984009,-1.1388702
android.sensor.gyroscope,1538336116935,281114344669997,-3.7799683,-0.2470398,-1.2048492
android.sensor.gyroscope,1538336116955,281114364506423,-4.0976257,-0.2830658,-1.3422852
android.sensor.gyroscope,1538336116972,281114384342848,-4.321808,-0.4125824,-1.5243225
android.sensor.gyroscope,1538336116994,281114404179274,-4.2894287,-0.3661499,-1.6184082
android.sensor.gyroscope,1538336117012,281114424046217,-4.1299896,-0.1676178,-1.5988464
android.sensor.gyroscope,1538336117033,281114443882643,-3.9491882,0.13658142,-1.533493
android.sensor.gyroscope,1538336117054,281114463719069,-4.0108795,0.4627838,-1.5847931
android.sensor.gyroscope,1538336117072,281114483555495,-4.360306,0.6869812,-1.8004303
android.sensor.gyroscope,1538336117092,281114503422438,-4.4653625,0.43896484,-1.8248749
android.sensor.gyroscope,1538336117113,281114523258864,-4.2448425,0.16407776,-1.6391754
android.sensor.gyroscope,1538336117133,281114543095290,-3.8532715,0.45851135,-1.4272003
android.sensor.gyroscope,1538336117153,281114562931715,-3.4494934,0.67170715,-1.259201
android.sensor.gyroscope,1538336117172,281114582768141,-3.108017,0.14819336,-1.4461365
android.sensor.gyroscope,1538336117191,281114602604567,-2.4146729,0.12620544,-1.7478943
android.sensor.gyroscope,1538336117211,281114622440993,-2.0872498,-0.041168213,-1.7900543
android.sensor.gyroscope,1538336117231,281114642277419,-2.0090485,-0.22808838,-1.6171722
android.sensor.gyroscope,1538336117251,281114662113844,-1.850235,-0.19328308,-1.3001251
android.sensor.gyroscope,1538336117271,281114681950270,-1.7286682,0.026626587,-1.0429688
android.sensor.gyroscope,1538336117291,281114701817214,-1.7329407,-0.07110596,-0.8957367
android.sensor.gyroscope,1538336117310,281114721653639,-1.6743011,-0.19694519,-0.9971466
android.sensor.gyroscope,1538336117331,281114741490065,-1.4055176,-0.04421997,-1.1431427
android.sensor.gyroscope,1538336117352,281114761326491,-1.1000824,0.03640747,-1.0557861
android.sensor.gyroscope,1538336117370,281114781162917,-0.8575592,0.06022644,-0.83280945
android.sensor.gyroscope,1538336117389,281114800999342,-0.721344,0.09687805,-0.6147461
android.sensor.gyroscope,1538336117411,281114820866286,-0.6529236,0.15551758,-0.5121155
android.sensor.gyroscope,1538336117429,281114840702712,-0.6663666,0.19522095,-0.55181885
android.sensor.gyroscope,1538336117450,281114860539137,-0.6333771,0.13964844,-0.6245117
android.sensor.gyroscope,1538336117469,281114880375563,-0.43362427,0.11276245,-0.570755
android.sensor.gyroscope,1538336117489,281114900211989,-0.26257324,0.2263794,-0.4235382
android.sensor.gyroscope,1538336117509,281114920048415,-0.17462158,0.32595825,-0.21705627
android.sensor.gyroscope,1538336117529,281114939884840,-0.13919067,0.114593506,-0.11077881
android.sensor.gyroscope,1538336117548,281114959721266,-0.14344788,-0.14990234,-0.17002869
android.sensor.gyroscope,1538336117569,281114979557692,-0.13674927,-0.14929199,-0.30075073
android.sensor.gyroscope,1538336117589,281114999424635,-0.18621826,-0.12974548,-0.37283325
android.sensor.gyroscope,1538336117606,281115019261061,-0.26135254,0.018676758,-0.27876282
android.sensor.gyroscope,1538336117627,281115039097487,-0.3511505,-0.016738892,-0.17002869
android.sensor.gyroscope,1538336117648,281115058933913,-0.3597107,-0.19572449,-0.037460327
android.sensor.gyroscope,1538336117668,281115078800856,-0.3083954,-0.01184082,0.03277588
android.sensor.gyroscope,1538336117688,281115098637282,-0.24546814,0.14268494,-0.06251526
android.sensor.gyroscope,1538336117709,281115118473708,-0.23143005,0.11276245,-0.068618774
android.sensor.gyroscope,1538336117728,281115138310133,-0.20942688,0.19889832,0.0040740967
android.sensor.gyroscope,1538336117745,281115158146559,-0.18621826,0.31861877,0.059036255
android.sensor.gyroscope,1538336117764,281115177982985,-0.16300964,0.35038757,0.079208374
android.sensor.gyroscope,1538336117787,281115197819411,-0.14344788,0.3925476,0.107910156
android.sensor.gyroscope,1538336117807,281115217655837,-0.13246155,0.5183716,0.15922546
android.sensor.gyroscope,1538336117828,281115237492262,-0.03656006,0.6014557,0.119522095
android.sensor.gyroscope,1538336117846,281115257328688,0.09049988,0.6112213,0.0138549805
android.sensor.gyroscope,1538336117868,281115277195631,0.16807556,0.05105591,0.06271362
android.sensor.gyroscope,1538336117881,281115297032057,0.09049988,-0.29284668,0.06210327
android.sensor.gyroscope,1538336117901,281115316868483,-0.19050598,-0.37226868,0.008956909
