Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336324584,281321973392860,2.045868,0.64367676,9.88475
android.sensor.accelerometer,1538336324584,281321993229285,1.8687897,0.6197357,9.829712
android.sensor.accelerometer,1538336324598,281322013065711,1.7970123,0.59103394,9.84407
android.sensor.accelerometer,1538336324618,281322032902137,1.7946167,0.55752563,9.934998
android.sensor.accelerometer,1538336324638,281322052738563,1.8257294,0.5096741,10.066605
android.sensor.accelerometer,1538336324659,281322072574989,1.8999023,0.4785614,10.045074
android.sensor.accelerometer,1538336324681,281322092441932,2.079361,0.53359985,10.009171
android.sensor.accelerometer,1538336324703,281322112278358,2.0889282,0.55752563,9.942184
android.sensor.accelerometer,1538336324719,281322132114784,2.0243225,0.55513,9.88475
android.sensor.accelerometer,1538336324741,281322151981727,2.033905,0.5312042,9.875183
android.sensor.accelerometer,1538336324762,281322171818153,2.0530396,0.5120697,9.894318
android.sensor.accelerometer,1538336324781,281322191654578,2.0171509,0.46420288,9.829712
android.sensor.accelerometer,1538336324801,281322211491004,2.148758,0.4785614,9.750748
android.sensor.accelerometer,1538336324820,281322231327430,2.2612152,0.5240326,9.609573
android.sensor.accelerometer,1538336324842,281322251163856,2.3401794,0.550354,9.427719
android.sensor.accelerometer,1538336324860,281322271000282,2.3114624,0.52163696,9.355942
android.sensor.accelerometer,1538336324880,281322290836707,2.2324982,0.41874695,9.198013
android.sensor.accelerometer,1538336324901,281322310673133,2.1559296,0.38285828,8.827118
android.sensor.accelerometer,1538336324970,281322330509559,2.0243225,0.5048828,7.9872437
android.sensor.accelerometer,1538336324970,281322350345985,2.0123596,0.74894714,7.5302124
android.sensor.accelerometer,1538336324970,281322370182410,2.182251,0.74894714,7.171295
android.sensor.accelerometer,1538336324975,281322390018836,1.931015,0.5790558,6.707077
android.sensor.accelerometer,1538336324996,281322409855262,2.033905,0.55992126,6.1327972
android.sensor.accelerometer,1538336325017,281322429691688,2.4071808,0.39959717,5.962921
