Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336316046,281313442142860,-0.054275513,-0.07476807,-0.04724121
android.sensor.gyroscope,1538336316065,281313461979285,-0.022506714,-0.069885254,-0.017303467
android.sensor.gyroscope,1538336316068,281313481815711,7.019043E-4,-0.0692749,-0.017303467
android.sensor.gyroscope,1538336316090,281313501652137,-0.010894775,-0.05278015,-0.039901733
android.sensor.gyroscope,1538336316108,281313521488563,-0.021896362,-0.08087158,-0.0741272
android.sensor.gyroscope,1538336316127,281313541324989,7.6293945E-5,-0.13035583,-0.08999634
android.sensor.gyroscope,1538336316147,281313561161414,0.05078125,-0.14868164,-0.053955078
android.sensor.gyroscope,1538336316168,281313581028358,0.11248779,-0.17312622,-0.015472412
android.sensor.gyroscope,1538336316189,281313600864784,0.13020325,-0.2030487,0.0034637451
android.sensor.gyroscope,1538336316209,281313620731727,0.113098145,-0.2952881,-0.013031006
android.sensor.gyroscope,1538336316228,281313640568153,0.11553955,-0.36920166,-0.036849976
android.sensor.gyroscope,1538336316248,281313660404578,0.07766724,-0.3979187,-0.039901733
android.sensor.gyroscope,1538336316268,281313680241004,-0.015182495,-0.49198914,-0.002029419
android.sensor.gyroscope,1538336316288,281313700077430,0.06788635,-0.5988922,-0.037460327
android.sensor.gyroscope,1538336316307,281313719913856,0.11248779,-1.2079315,-0.08633423
android.sensor.gyroscope,1538336316327,281313739750282,0.11920166,-1.642868,-0.0942688
android.sensor.gyroscope,1538336316348,281313759586707,0.100875854,-1.5475769,-0.08023071
android.sensor.gyroscope,1538336316366,281313779423133,0.105163574,-1.2397003,-0.10710144
android.sensor.gyroscope,1538336316450,281313799259559,0.032470703,-1.3667603,-0.2414856
android.sensor.gyroscope,1538336316450,281313819095985,0.06422424,-1.7094574,-0.34718323
android.sensor.gyroscope,1538336316450,281313838932410,0.38615417,-2.2702332,-0.6287842
android.sensor.gyroscope,1538336316450,281313858799354,0.52970886,-2.4932098,-1.0270844
android.sensor.gyroscope,1538336316465,281313878635780,0.26885986,-1.9941254,-1.2518768
android.sensor.gyroscope,1538336316484,281313898472205,-0.050613403,-1.5536804,-1.2750854
android.sensor.gyroscope,1538336316505,281313918308631,-0.44155884,-1.4718323,-1.3465576
android.sensor.gyroscope,1538336316527,281313938145057,-0.850235,-1.7430573,-1.3856506
android.sensor.gyroscope,1538336316545,281313957981483,-1.1171875,-2.0790253,-1.2787628
android.sensor.gyroscope,1538336316564,281313977817909,-1.0206604,-2.395462,-1.1431427
android.sensor.gyroscope,1538336316584,281313997654334,-0.8752899,-2.605606,-1.2158356
android.sensor.gyroscope,1538336316605,281314017521278,-0.9608002,-2.6898956,-1.1370239
android.sensor.gyroscope,1538336316624,281314037357703,-1.2625732,-2.6422577,-0.933609
android.sensor.gyroscope,1538336316646,281314057194129,-1.6407013,-2.5976562,-0.6788788
android.sensor.gyroscope,1538336316665,281314077030555,-1.9461365,-2.7296143,-0.4235382
android.sensor.gyroscope,1538336316686,281314096866981,-1.9626312,-3.0252686,-0.13887024
android.sensor.gyroscope,1538336316706,281314116703407,-1.6559753,-3.3881378,0.15739441
android.sensor.gyroscope,1538336316724,281314136570350,-1.5741119,-3.215866,0.5153656
android.sensor.gyroscope,1538336316744,281314156406776,-2.0328827,-2.498703,0.9295349
android.sensor.gyroscope,1538336316765,281314176243201,-2.464157,-2.1144562,1.2765045
android.sensor.gyroscope,1538336316781,281314196079627,-2.3480835,-2.4284515,1.5446777
android.sensor.gyroscope,1538336316802,281314215916053,-1.7274475,-3.2128143,1.8226318
android.sensor.gyroscope,1538336316822,281314235752479,-1.1776581,-3.4064636,2.1579895
android.sensor.gyroscope,1538336316842,281314255588905,-1.1819458,-2.5762787,2.6937256
android.sensor.gyroscope,1538336316863,281314275425330,-1.5667877,-1.6612091,3.1683807
android.sensor.gyroscope,1538336316883,281314295261756,-1.7091217,-1.3478241,3.450592
android.sensor.gyroscope,1538336316902,281314315098182,-1.3676453,-1.6214905,3.491516
android.sensor.gyroscope,1538336316922,281314334934608,-0.6669769,-2.0949097,3.341858
android.sensor.gyroscope,1538336316942,281314354771034,0.0043640137,-2.3514862,3.2227325
android.sensor.gyroscope,1538336316961,281314374607459,0.43074036,-2.303833,3.1885223
android.sensor.gyroscope,1538336316980,281314394474403,0.77223206,-2.2506866,3.1610413
android.sensor.gyroscope,1538336317001,281314414310828,1.2047119,-2.4137878,3.155548
android.sensor.gyroscope,1538336317021,281314434177772,1.7502289,-2.7027283,3.1292725
android.sensor.gyroscope,1538336317041,281314454014198,2.2914581,-2.9336395,2.9936676
android.sensor.gyroscope,1538336317061,281314473850623,2.8540802,-3.2409058,2.7016602
android.sensor.gyroscope,1538336317081,281314493687049,3.464325,-3.7112732,2.355301
android.sensor.gyroscope,1538336317102,281314513523475,4.120407,-4.181656,1.9661865
android.sensor.gyroscope,1538336317122,281314533359901,4.6940155,-4.5170135,1.4457245
android.sensor.gyroscope,1538336317142,281314553196326,4.9597473,-4.5219116,0.7291565
android.sensor.gyroscope,1538336317162,281314573032752,4.9652405,-4.414383,-0.13764954
android.sensor.gyroscope,1538336317183,281314592869178,4.934082,-4.4033966,-1.0466309
android.sensor.gyroscope,1538336317202,281314612705604,4.6427,-4.0289307,-1.8939056
android.sensor.gyroscope,1538336317221,281314632542030,4.1362915,-3.34964,-2.5010986
android.sensor.gyroscope,1538336317242,281314652378455,3.7477722,-2.896988,-2.882904
android.sensor.gyroscope,1538336317261,281314672214881,3.5852814,-3.0142822,-3.2555237
android.sensor.gyroscope,1538336317281,281314692051307,3.4667664,-3.2580109,-3.733841
android.sensor.gyroscope,1538336317302,281314711918250,3.09964,-2.9873962,-4.1889343
android.sensor.gyroscope,1538336317320,281314731754676,2.5620728,-2.4131775,-4.468109
android.sensor.gyroscope,1538336317341,281314751591102,2.0190125,-2.0436096,-4.6470947
android.sensor.gyroscope,1538336317361,281314771427528,1.5462036,-2.0045166,-4.782089
android.sensor.gyroscope,1538336317380,281314791294471,1.1411896,-2.1572266,-4.879837
android.sensor.gyroscope,1538336317400,281314811130897,0.75450134,-2.2965088,-4.8737335
android.sensor.gyroscope,1538336317419,281314830967323,0.47106934,-2.2311401,-4.767441
android.sensor.gyroscope,1538336317438,281314850803748,0.27070618,-2.1627197,-4.703293
android.sensor.gyroscope,1538336317459,281314870640174,0.09538269,-2.367981,-4.7436066
android.sensor.gyroscope,1538336317479,281314890476600,-0.009674072,-2.74794,-4.7179565
