Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336354462,281351852493729,3.3260193,0.9403839,9.621536
android.sensor.accelerometer,1538336354462,281351872330155,3.3954163,1.0049896,9.178864
android.sensor.accelerometer,1538336354477,281351892166580,3.122635,1.1557312,9.310471
android.sensor.accelerometer,1538336354496,281351912033524,3.2326965,0.99302673,9.403793
android.sensor.accelerometer,1538336354518,281351931869949,3.3475647,1.0528412,9.166901
android.sensor.accelerometer,1538336354537,281351951706375,3.2901306,1.0049896,9.233902
android.sensor.accelerometer,1538336354560,281351971542801,3.2901306,0.9188385,9.643082
android.sensor.accelerometer,1538336354582,281351991379227,3.172882,0.8446655,9.851257
android.sensor.accelerometer,1538336354600,281352011215653,3.2662048,0.83270264,9.834503
android.sensor.accelerometer,1538336354620,281352031052078,3.3020935,0.87815857,9.702896
android.sensor.accelerometer,1538336354643,281352050888504,3.2398834,0.8566284,9.7005005
android.sensor.accelerometer,1538336354662,281352070724930,3.2494507,0.78723145,9.820145
android.sensor.accelerometer,1538336354679,281352090561356,3.213562,0.72024536,9.923035
android.sensor.accelerometer,1538336354702,281352110397781,3.1992035,0.72024536,9.671783
android.sensor.accelerometer,1538336354724,281352130234207,3.7328033,0.14596558,9.2482605
android.sensor.accelerometer,1538336354741,281352150070633,2.005188,1.4763641,8.819946
android.sensor.accelerometer,1538336354759,281352169907059,2.778061,-0.14356995,9.396622
android.sensor.accelerometer,1538336354779,281352189774002,2.8163452,0.68673706,9.221939
android.sensor.accelerometer,1538336354799,281352209640946,3.2494507,0.6125641,7.824524
android.sensor.accelerometer,1538336354866,281352229477371,3.0723877,0.5312042,7.0947266
android.sensor.accelerometer,1538336354866,281352249313797,2.6129608,-0.050247192,6.4630127
android.sensor.accelerometer,1538336354866,281352269150223,2.864212,-0.61016846,6.089737
android.sensor.accelerometer,1538336354874,281352288986649,3.653839,-0.95474243,5.001007
android.sensor.accelerometer,1538336354897,281352308823074,3.7112732,-0.8614197,4.2472534
android.sensor.accelerometer,1538336354916,281352328659500,3.1202393,-1.0456696,3.4791565
android.sensor.accelerometer,1538336354935,281352348495926,2.8881378,-1.8017883,2.9288177
android.sensor.accelerometer,1538336354957,281352368332352,4.2592316,-3.4049835,2.0434723
android.sensor.accelerometer,1538336354978,281352388168778,7.1449738,-4.692322,0.61016846
android.sensor.accelerometer,1538336354997,281352408005203,7.9082794,-4.6085815,-1.0049896
android.sensor.accelerometer,1538336355018,281352427841629,8.090134,-5.757126,-2.3282166
android.sensor.accelerometer,1538336355038,281352447678055,9.334396,-7.4201508,-3.0508423
android.sensor.accelerometer,1538336355054,281352467514481,11.698517,-8.202591,-3.3523407
android.sensor.accelerometer,1538336355079,281352487381424,13.715652,-8.925232,-3.7902374
android.sensor.accelerometer,1538336355098,281352507217850,14.553146,-9.827316,-4.2017975
android.sensor.accelerometer,1538336355115,281352527054276,15.003006,-10.248459,-5.201996
android.sensor.accelerometer,1538336355136,281352546890701,15.579666,-10.791626,-6.2883453
android.sensor.accelerometer,1538336355154,281352566727127,16.199417,-11.686554,-6.089737
android.sensor.accelerometer,1538336355175,281352586563553,17.089539,-12.380463,-4.7976074
android.sensor.accelerometer,1538336355196,281352606430496,18.498917,-12.787247,-3.3595276
android.sensor.accelerometer,1538336355215,281352626266922,20.114075,-12.904495,-2.5028992
android.sensor.accelerometer,1538336355236,281352646103348,20.882172,-12.617355,-2.120041
android.sensor.accelerometer,1538336355254,281352665939774,20.839096,-12.480957,-1.6534424
android.sensor.accelerometer,1538336355276,281352685776199,20.779266,-12.380463,-1.0983124
android.sensor.accelerometer,1538336355297,281352705612625,20.410782,-12.83989,-0.6006012
android.sensor.accelerometer,1538336355313,281352725449051,20.049454,-12.983459,0.31106567
android.sensor.accelerometer,1538336355333,281352745285477,20.480164,-13.131805,1.0887299
android.sensor.accelerometer,1538336355360,281352765152420,20.520844,-13.217957,1.8400879
android.sensor.accelerometer,1538336355371,281352784988846,20.633316,-13.222733,1.6175537
android.sensor.accelerometer,1538336355391,281352804825272,20.410782,-13.261017,0.052642822
android.sensor.accelerometer,1538336355412,281352824661697,18.518051,-13.914261,-1.1078796
