Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336346959,281344352974538,-5.187988E-4,0.004638672,0.03704834
android.sensor.gyroscope,1538336346960,281344372810964,7.6293945E-5,-0.010025024,0.04988098
android.sensor.gyroscope,1538336346977,281344392647390,0.0019226074,-0.021621704,0.059036255
android.sensor.gyroscope,1538336346999,281344412483815,-0.0011444092,-0.014907837,0.054763794
android.sensor.gyroscope,1538336347019,281344432320241,-0.0060272217,0.011962891,0.054153442
android.sensor.gyroscope,1538336347039,281344452156667,-0.0054016113,0.011352539,0.05781555
android.sensor.gyroscope,1538336347063,281344472023610,0.011688232,-0.014907837,0.047439575
android.sensor.gyroscope,1538336347081,281344491860036,0.011688232,-0.019180298,0.040115356
android.sensor.gyroscope,1538336347105,281344511696462,-0.013961792,3.5095215E-4,0.035217285
android.sensor.gyroscope,1538336347122,281344531532888,-0.031066895,0.020523071,0.026672363
android.sensor.gyroscope,1538336347142,281344551369313,-0.016403198,0.017456055,0.03765869
android.sensor.gyroscope,1538336347160,281344571205739,0.019638062,0.0028076172,0.05293274
android.sensor.gyroscope,1538336347180,281344591042165,0.018417358,-0.0026855469,0.04988098
android.sensor.gyroscope,1538336347200,281344610878591,-0.02067566,0.011962891,0.043777466
android.sensor.gyroscope,1538336347219,281344630715016,-0.03288269,0.0021972656,0.050491333
android.sensor.gyroscope,1538336347240,281344650551442,-0.0048065186,-0.019180298,0.06454468
android.sensor.gyroscope,1538336347259,281344670387868,0.009246826,-0.018569946,0.09751892
android.sensor.gyroscope,1538336347280,281344690254811,-0.028625488,-0.041778564,0.17327881
android.sensor.gyroscope,1538336347301,281344710091237,-0.055496216,-0.110198975,0.29605103
android.sensor.gyroscope,1538336347319,281344729927663,-0.07626343,-0.14013672,0.33821106
android.sensor.gyroscope,1538336347342,281344749794606,-0.13490295,-0.1859436,0.35958862
android.sensor.gyroscope,1538336347359,281344769631032,-0.25952148,-0.18533325,0.67785645
android.sensor.gyroscope,1538336347379,281344789467458,-0.3474884,-0.5634613,1.1048584
android.sensor.gyroscope,1538336347399,281344809303884,-0.20576477,-1.3160553,1.6106567
android.sensor.gyroscope,1538336347417,281344829140309,-0.17218018,-2.1272888,2.0663605
android.sensor.gyroscope,1538336347438,281344848976735,-0.15751648,-3.0448303,2.5727692
android.sensor.gyroscope,1538336347459,281344868813161,0.22183228,-4.022217,3.4084473
android.sensor.gyroscope,1538336347478,281344888649587,0.8070526,-4.1284943,3.38768
android.sensor.gyroscope,1538336347499,281344908486013,1.1912842,-3.875,2.5080261
android.sensor.gyroscope,1538336347518,281344928322438,1.2200012,-3.8383484,2.103012
android.sensor.gyroscope,1538336347538,281344948158864,0.5791931,-3.3746948,2.5031433
android.sensor.gyroscope,1538336347558,281344967995290,-0.6009979,-2.4706116,3.2795563
android.sensor.gyroscope,1538336347578,281344987831716,-1.5014191,-1.9886322,3.6485138
android.sensor.gyroscope,1538336347598,281345007668141,-2.0237122,-1.8169708,3.5978088
android.sensor.gyroscope,1538336347619,281345027504567,-2.2766113,-2.1431732,3.3302612
android.sensor.gyroscope,1538336347636,281345047371511,-2.267456,-2.7125092,2.9600677
android.sensor.gyroscope,1538336347657,281345067207936,-2.1917114,-2.875,2.6735687
android.sensor.gyroscope,1538336347676,281345087044362,-2.3768005,-2.476715,2.4218903
android.sensor.gyroscope,1538336347695,281345106911306,-2.9180298,-1.7540436,2.044983
android.sensor.gyroscope,1538336347716,281345126747731,-3.68956,-0.89334106,1.5153503
android.sensor.gyroscope,1538336347735,281345146584157,-4.3028717,-0.28918457,0.917923
android.sensor.gyroscope,1538336347755,281345166420583,-4.7145996,0.11642456,0.37608337
android.sensor.gyroscope,1538336347775,281345186257009,-5.0518036,0.5379181,-0.016693115
android.sensor.gyroscope,1538336347794,281345206093434,-5.0768433,0.8659668,-0.29891968
android.sensor.gyroscope,1538336347815,281345225929860,-4.8563232,1.0767212,-0.6391754
android.sensor.gyroscope,1538336347835,281345245766286,-4.68161,1.2428741,-0.99165344
android.sensor.gyroscope,1538336347854,281345265602712,-4.633362,1.5562439,-1.3086853
android.sensor.gyroscope,1538336347874,281345285439138,-4.59671,2.085266,-1.8053284
android.sensor.gyroscope,1538336347894,281345305275563,-4.515457,2.3363342,-2.355713
android.sensor.gyroscope,1538336347913,281345325142507,-4.2784424,2.2807312,-2.789444
android.sensor.gyroscope,1538336347933,281345344978933,-3.9571228,2.153061,-3.2665253
