Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336472077,281469482617086,1.8089752,1.3328094,10.320251
android.sensor.accelerometer,1538336472091,281469502453512,1.9573364,1.3351898,10.238892
android.sensor.accelerometer,1538336472107,281469522320455,2.0075836,1.3399811,10.076172
android.sensor.accelerometer,1538336472127,281469542156881,1.9477539,1.3280182,9.958923
android.sensor.accelerometer,1538336472148,281469561993307,1.9549408,1.3088684,9.891922
android.sensor.accelerometer,1538336472169,281469581829732,1.9692993,1.3399811,9.805786
android.sensor.accelerometer,1538336472189,281469601666158,1.9669037,1.3543396,9.748352
android.sensor.accelerometer,1538336472212,281469621502584,1.9980011,1.380661,9.765106
android.sensor.accelerometer,1538336472229,281469641339010,2.0147552,1.3758698,9.829712
android.sensor.accelerometer,1538336472253,281469661175435,2.0195465,1.4189453,9.923035
android.sensor.accelerometer,1538336472269,281469681011861,2.0865479,1.450058,10.016357
android.sensor.accelerometer,1538336472291,281469700848287,2.1918182,1.5170441,10.126419
android.sensor.accelerometer,1538336472310,281469720684713,2.244461,1.6438751,10.475784
android.sensor.accelerometer,1538336472330,281469740521139,2.3162537,1.9118652,11.040482
android.sensor.accelerometer,1538336472349,281469760357564,2.7086792,2.5124664,11.928223
android.sensor.accelerometer,1538336472380,281469780193990,3.4576263,3.2973022,13.050461
android.sensor.accelerometer,1538336472388,281469800060934,5.15654,4.7162476,13.856842
android.sensor.accelerometer,1538336472409,281469819897359,6.551544,5.9437714,13.660629
android.sensor.accelerometer,1538336472430,281469839733785,7.7814636,6.69751,13.356735
android.sensor.accelerometer,1538336472491,281469859570211,9.769897,6.599411,14.416763
android.sensor.accelerometer,1538336472491,281469879406637,11.684158,6.4654083,15.443283
android.sensor.accelerometer,1538336472491,281469899243062,12.859024,6.3672943,14.4670105
android.sensor.accelerometer,1538336472505,281469919079488,13.727631,6.530014,12.155533
android.sensor.accelerometer,1538336472526,281469938915914,13.280167,6.788437,8.987442
android.sensor.accelerometer,1538336472551,281469958782857,12.277573,6.9511566,6.855438
android.sensor.accelerometer,1538336472566,281469978619283,11.241486,6.6065826,6.6305084
android.sensor.accelerometer,1538336472588,281469998455709,10.717453,6.417557,6.929611
android.sensor.accelerometer,1538336472607,281470018292135,10.48056,6.2404785,6.376877
android.sensor.accelerometer,1538336472627,281470038128560,9.183655,5.9318085,4.924423
android.sensor.accelerometer,1538336472646,281470057964986,7.5924225,5.6685944,3.7256317
android.sensor.accelerometer,1538336472668,281470077831930,5.97966,5.07518,2.0291138
android.sensor.accelerometer,1538336472687,281470097668355,4.19223,4.467407,0.80158997
android.sensor.accelerometer,1538336472705,281470117504781,2.3688965,3.4073792,-0.82073975
android.sensor.accelerometer,1538336472726,281470137341207,1.6845398,2.428711,-0.04067993
android.sensor.accelerometer,1538336472746,281470157177633,2.3306122,1.454834,2.658432
android.sensor.accelerometer,1538336472765,281470177014059,2.945572,0.57188416,5.5202484
android.sensor.accelerometer,1538336472791,281470196850484,3.3044891,-0.2632141,8.556732
android.sensor.accelerometer,1538336472804,281470216686910,2.7278137,-0.5264282,11.358734
android.sensor.accelerometer,1538336472825,281470236523336,1.8999023,-1.3950195,12.22493
android.sensor.accelerometer,1538336472844,281470256359762,0.4785614,-1.5984039,11.827728
android.sensor.accelerometer,1538336472868,281470276196187,-0.44506836,-2.3521423,10.284348
android.sensor.accelerometer,1538336472882,281470296032613,-0.72262573,-3.349945,10.33699
android.sensor.accelerometer,1538336472902,281470315869039,-1.1629181,-4.618149,12.222534
android.sensor.accelerometer,1538336472924,281470335705465,-2.1056824,-6.0107727,14.203796
android.sensor.accelerometer,1538336472943,281470355541891,-3.041275,-7.085144,16.709076
android.sensor.accelerometer,1538336472966,281470375408834,-2.7421722,-8.214554,18.73581
android.sensor.accelerometer,1538336472986,281470395245260,-1.7204437,-8.843872,20.271988
android.sensor.accelerometer,1538336473002,281470415081685,-1.2251282,-8.932404,21.025726
android.sensor.accelerometer,1538336473020,281470434918111,-0.6699829,-8.767303,20.099716
android.sensor.accelerometer,1538336473042,281470454754537,0.3254242,-8.281555,16.99144
android.sensor.accelerometer,1538336473061,281470474590963,0.9714813,-7.7479553,13.167709
android.sensor.accelerometer,1538336473083,281470494427389,1.8017883,-7.113861,9.990036
