Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336440608,281438016927480,-0.08970642,0.011352539,-0.019134521
android.sensor.gyroscope,1538336440625,281438036794423,-0.056106567,0.0076904297,-0.011199951
android.sensor.gyroscope,1538336440642,281438056630849,-0.01701355,0.012573242,0.015075684
android.sensor.gyroscope,1538336440662,281438076467275,-0.007247925,0.013793945,0.034606934
android.sensor.gyroscope,1538336440682,281438096303700,-0.031661987,9.765625E-4,0.02545166
android.sensor.gyroscope,1538336440703,281438116140126,-0.046325684,-0.0045318604,0.0071258545
android.sensor.gyroscope,1538336440722,281438135976552,-0.048171997,-8.69751E-4,0.0010223389
android.sensor.gyroscope,1538336440748,281438155812978,-0.043884277,-0.014907837,0.006515503
android.sensor.gyroscope,1538336440769,281438175649403,-0.026168823,-0.017959595,0.011413574
android.sensor.gyroscope,1538336440783,281438195485829,-0.010894775,0.004638672,0.007736206
android.sensor.gyroscope,1538336440804,281438215322255,-0.018844604,0.018081665,0.002243042
android.sensor.gyroscope,1538336440824,281438235158681,-0.043884277,9.765625E-4,-0.009979248
android.sensor.gyroscope,1538336440843,281438254995107,-0.06587219,-0.028945923,-0.020980835
android.sensor.gyroscope,1538336440862,281438274831532,-0.075042725,-0.033233643,-0.013031006
android.sensor.gyroscope,1538336440882,281438294667958,-0.09397888,-0.013687134,-0.004470825
android.sensor.gyroscope,1538336440910,281438314504384,-0.111083984,0.0064697266,-0.0063171387
android.sensor.gyroscope,1538336440932,281438334371327,-0.14590454,0.012573242,0.030334473
android.sensor.gyroscope,1538336440951,281438354207753,-0.25341797,0.013183594,0.14945984
android.sensor.gyroscope,1538336440960,281438374074696,-0.45072937,0.015014648,0.2545166
android.sensor.gyroscope,1538336440982,281438393911122,-0.6291046,-0.09492493,0.30949402
android.sensor.gyroscope,1538336441003,281438413747548,-0.6761322,-0.33744812,0.18611145
android.sensor.gyroscope,1538336441022,281438433583974,-0.6846924,-0.71069336,-0.06800842
android.sensor.gyroscope,1538336441042,281438453420400,-0.66270447,-1.1028595,-0.49256897
android.sensor.gyroscope,1538336441063,281438473256825,-0.5057068,-1.3221588,-1.0215759
android.sensor.gyroscope,1538336441081,281438493093251,-0.18377686,-1.4272308,-1.5169983
android.sensor.gyroscope,1538336441102,281438512929677,0.37394714,-1.6367645,-1.9745331
android.sensor.gyroscope,1538336441122,281438532766103,1.2279358,-2.0997925,-2.430252
android.sensor.gyroscope,1538336441142,281438552602528,2.1698914,-2.7827606,-2.8621368
android.sensor.gyroscope,1538336441161,281438572438954,2.7563324,-3.3239899,-2.9739227
android.sensor.gyroscope,1538336441181,281438592275380,2.8662872,-2.7186127,-3.1822357
android.sensor.gyroscope,1538336441199,281438612142323,3.0080109,-2.2726746,-3.6006775
android.sensor.gyroscope,1538336441221,281438631978749,3.2340393,-2.2830658,-4.1938324
android.sensor.gyroscope,1538336441242,281438651815175,3.157669,-2.5793304,-4.5279694
android.sensor.gyroscope,1538336441259,281438671651601,2.6585999,-2.8975983,-4.780258
android.sensor.gyroscope,1538336441279,281438691488027,2.213272,-3.20549,-4.936035
android.sensor.gyroscope,1538336441301,281438711324452,1.6579895,-3.0729218,-4.8040924
android.sensor.gyroscope,1538336441319,281438731160878,0.77223206,-1.9489136,-4.1474
android.sensor.gyroscope,1538336441340,281438750997304,-0.17706299,-0.7174072,-3.2995148
android.sensor.gyroscope,1538336441362,281438770833730,-0.9601898,-0.24519348,-2.723465
android.sensor.gyroscope,1538336441380,281438790670155,-1.333435,0.08648682,-2.337387
android.sensor.gyroscope,1538336441400,281438810506581,-1.2729645,0.7181244,-2.0356293
