Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336418925,281416332145918,2.0315094,1.5433655,10.205383
android.sensor.accelerometer,1538336418942,281416351982344,1.976471,1.6199341,10.248459
android.sensor.accelerometer,1538336418956,281416371818770,2.1176453,1.6749725,10.186249
android.sensor.accelerometer,1538336418977,281416391655195,2.2324982,1.7922211,10.219742
android.sensor.accelerometer,1538336418996,281416411491621,2.1248322,1.8759766,10.360916
android.sensor.accelerometer,1538336419016,281416431328047,1.8281097,1.9214325,10.33699
android.sensor.accelerometer,1538336419039,281416451164473,1.2849426,1.8233337,10.224533
android.sensor.accelerometer,1538336419059,281416471000899,1.3208313,1.8424683,10.365707
android.sensor.accelerometer,1538336419079,281416490837324,1.7970123,1.9525452,10.770096
android.sensor.accelerometer,1538336419099,281416510673750,1.9381866,2.0769653,11.100311
android.sensor.accelerometer,1538336419118,281416530510176,1.9190369,2.1248322,10.95195
android.sensor.accelerometer,1538336419139,281416550346602,1.8807526,2.2994995,10.585846
android.sensor.accelerometer,1538336419159,281416570213545,1.9429779,2.526825,10.712662
android.sensor.accelerometer,1538336419179,281416590049971,1.7060852,2.9312134,11.105087
android.sensor.accelerometer,1538336419199,281416609916914,1.0193481,3.4983063,11.77269
android.sensor.accelerometer,1538336419219,281416629753340,0.08135986,4.228119,13.165314
android.sensor.accelerometer,1538336419238,281416649589766,-0.71066284,5.194824,15.084351
android.sensor.accelerometer,1538336419266,281416669426192,-0.37806702,6.1208344,17.070404
android.sensor.accelerometer,1538336419288,281416689262617,1.0528412,7.704895,19.18805
android.sensor.accelerometer,1538336419298,281416709099043,3.6394806,8.085342,18.108887
android.sensor.accelerometer,1538336419319,281416728935469,4.709076,8.331802,17.907883
android.sensor.accelerometer,1538336419376,281416748771895,4.4865417,8.020737,17.862427
android.sensor.accelerometer,1538336419376,281416768608320,4.130005,6.3385925,19.097122
android.sensor.accelerometer,1538336419376,281416788444746,5.170883,4.1730804,17.783463
android.sensor.accelerometer,1538336419397,281416808281172,5.338394,3.431305,15.3667145
android.sensor.accelerometer,1538336419415,281416828117598,5.498703,2.5244293,12.933212
android.sensor.accelerometer,1538336419434,281416847954024,5.8408813,1.4117584,11.102692
android.sensor.accelerometer,1538336419460,281416867820967,5.065613,-0.20578003,10.066605
android.sensor.accelerometer,1538336419475,281416887657393,4.64447,-1.6701965,8.489731
android.sensor.accelerometer,1538336419495,281416907493819,3.4217377,-2.7876434,5.2618103
