Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336404053,281401452296211,0.01473999,0.030288696,0.02545166
android.sensor.gyroscope,1538336404071,281401472132637,0.0501709,0.012573242,0.035217285
android.sensor.gyroscope,1538336404077,281401491969063,0.09599304,-0.008804321,0.029724121
android.sensor.gyroscope,1538336404096,281401511805489,0.11982727,0.0107421875,0.046218872
android.sensor.gyroscope,1538336404117,281401531641914,0.14303589,0.029678345,0.07736206
android.sensor.gyroscope,1538336404136,281401551478340,0.20777893,0.0052490234,0.08836365
android.sensor.gyroscope,1538336404158,281401571314766,0.30307007,0.01991272,0.12501526
android.sensor.gyroscope,1538336404179,281401591181709,0.3769989,0.074279785,0.18611145
android.sensor.gyroscope,1538336404204,281401611018135,0.42341614,0.065719604,0.21420288
android.sensor.gyroscope,1538336404227,281401630854561,0.44847107,0.018081665,0.20565796
android.sensor.gyroscope,1538336404242,281401650690987,0.44052124,0.05656433,0.20443726
android.sensor.gyroscope,1538336404259,281401670527412,0.39837646,0.14390564,0.19648743
android.sensor.gyroscope,1538336404285,281401690394356,0.36050415,0.19094849,0.16778564
android.sensor.gyroscope,1538336404298,281401710230782,0.41181946,0.13536072,0.14823914
android.sensor.gyroscope,1538336404320,281401730067207,0.522995,0.013793945,0.15190125
android.sensor.gyroscope,1538336404341,281401749903633,0.6811981,-0.26474,0.11584473
android.sensor.gyroscope,1538336404359,281401769740059,0.9854126,-0.82736206,-0.007537842
android.sensor.gyroscope,1538336404379,281401789576485,1.5736847,-1.5823975,-0.0954895
android.sensor.gyroscope,1538336404399,281401809412910,2.379425,-2.2403107,0.038269043
android.sensor.gyroscope,1538336404420,281401829249336,3.1955414,-2.6007233,0.26307678
android.sensor.gyroscope,1538336404485,281401849085762,3.859558,-2.7491608,0.2716217
android.sensor.gyroscope,1538336404485,281401868922188,4.25296,-3.2775574,-0.15414429
android.sensor.gyroscope,1538336404485,281401888758614,4.3586426,-4.1749268,-0.88597107
android.sensor.gyroscope,1538336404495,281401908595039,4.416687,-4.0338135,-1.3526611
android.sensor.gyroscope,1538336404518,281401928431465,4.567566,-3.275116,-1.4944
android.sensor.gyroscope,1538336404536,281401948267891,4.7178345,-2.6227112,-1.6104584
android.sensor.gyroscope,1538336404556,281401968104317,4.6249847,-2.3514862,-1.6642151
android.sensor.gyroscope,1538336404578,281401987971260,4.3940735,-2.3026123,-1.5970154
android.sensor.gyroscope,1538336404596,281402007807686,4.2859497,-2.3032227,-1.4681244
android.sensor.gyroscope,1538336404615,281402027644112,4.243805,-2.2030334,-1.3166351
android.sensor.gyroscope,1538336404638,281402047480537,4.1680603,-2.061325,-1.1309204
android.sensor.gyroscope,1538336404656,281402067347481,4.0782623,-2.0845337,-0.93666077
android.sensor.gyroscope,1538336404679,281402087183907,4.086197,-2.4431152,-0.7631836
android.sensor.gyroscope,1538336404698,281402107020332,4.206543,-3.2067108,-0.6245117
android.sensor.gyroscope,1538336404716,281402126856758,4.305496,-3.826126,-0.60801697
android.sensor.gyroscope,1538336404733,281402146693184,4.300003,-3.7613678,-0.5793152
android.sensor.gyroscope,1538336404753,281402166529610,4.0141144,-3.0374908,-0.39604187
android.sensor.gyroscope,1538336404774,281402186366035,3.3696442,-2.2219849,-0.14498901
android.sensor.gyroscope,1538336404796,281402206202461,2.6970825,-1.5481873,0.08470154
android.sensor.gyroscope,1538336404814,281402226038887,2.3122253,-1.2794037,0.20503235
android.sensor.gyroscope,1538336404834,281402245875313,2.2933044,-1.3667603,0.18977356
android.sensor.gyroscope,1538336404852,281402265742256,2.4044647,-1.5769043,0.21603394
android.sensor.gyroscope,1538336404873,281402285578682,2.4618988,-1.7412262,0.32904053
android.sensor.gyroscope,1538336404892,281402305415108,2.2285461,-1.6343231,0.41456604
android.sensor.gyroscope,1538336404913,281402325251533,1.5828552,-1.1639404,0.4945984
android.sensor.gyroscope,1538336404934,281402345087959,1.0642242,-0.65631104,0.5391846
android.sensor.gyroscope,1538336404957,281402364924385,1.0159607,-0.4944458,0.6613617
android.sensor.gyroscope,1538336404976,281402384760811,1.1906738,-0.71984863,0.8647766
android.sensor.gyroscope,1538336404993,281402404597237,1.2016754,-0.8829498,1.0871277
android.sensor.gyroscope,1538336405015,281402424433662,1.1204224,-0.7901001,1.296051
android.sensor.gyroscope,1538336405029,281402444270088,1.0801086,-0.7351227,1.5147552
android.sensor.gyroscope,1538336405049,281402464106514,0.9805298,-0.7167969,1.8079681
android.sensor.gyroscope,1538336405070,281402483942940,0.74046326,-0.6367645,2.2190857
android.sensor.gyroscope,1538336405090,281402503779365,0.5791931,-0.62882996,2.699829
android.sensor.gyroscope,1538336405110,281402523615791,0.5413208,-0.71617126,3.2068481
android.sensor.gyroscope,1538336405133,281402543482735,0.53704834,-0.7167969,3.7309875
android.sensor.gyroscope,1538336405152,281402563349678,0.46372986,-0.72717285,4.2905426
android.sensor.gyroscope,1538336405173,281402583186104,0.43196106,-0.85118103,4.8568115
android.sensor.gyroscope,1538336405192,281402603022530,0.31529236,-0.7644501,5.3210754
android.sensor.gyroscope,1538336405212,281402622858955,0.11004639,-0.73695374,5.724869
android.sensor.gyroscope,1538336405232,281402642695381,-0.23936462,-0.80659485,6.1518555
android.sensor.gyroscope,1538336405255,281402662531807,-0.75250244,-0.7754364,6.747467
android.sensor.gyroscope,1538336405272,281402682368233,-1.6724701,-0.49871826,7.452408
android.sensor.gyroscope,1538336405293,281402702204658,-3.311432,0.26669312,7.6484985
android.sensor.gyroscope,1538336405309,281402722041084,-5.016983,1.1909485,6.9178925
android.sensor.gyroscope,1538336405327,281402741877510,-5.4574127,0.98080444,5.8244324
android.sensor.gyroscope,1538336405347,281402761713936,-3.5227966,-0.35638428,4.6955566
android.sensor.gyroscope,1538336405369,281402781550362,-0.3487091,-1.4199066,3.774353
android.sensor.gyroscope,1538336405386,281402801386787,1.3024597,-1.4846649,2.931366
android.sensor.gyroscope,1538336405407,281402821223213,1.1833496,-0.8798981,1.7536011
android.sensor.gyroscope,1538336405427,281402841090157,0.3317871,-0.16946411,0.5459137
android.sensor.gyroscope,1538336405447,281402860926582,-0.3120575,0.08465576,-0.2714386
android.sensor.gyroscope,1538336405470,281402880763008,-0.10253906,-0.2861328,-0.5438843
android.sensor.gyroscope,1538336405489,281402900599434,0.5492554,-0.70762634,-0.3710022
android.sensor.gyroscope,1538336405511,281402920435860,0.7056427,-0.52619934,-0.14253235
android.sensor.gyroscope,1538336405527,281402940272285,0.18029785,-8.69751E-4,0.0034637451
android.sensor.gyroscope,1538336405552,281402960108711,-0.24668884,0.2642517,0.024230957
android.sensor.gyroscope,1538336405569,281402979945137,-0.16362,0.3632202,-0.08755493
android.sensor.gyroscope,1538336405590,281402999812080,0.13447571,0.62283325,-0.24821472
android.sensor.gyroscope,1538336405610,281403019648506,0.1002655,1.171402,-0.39421082
android.sensor.gyroscope,1538336405629,281403039484932,-0.22470093,1.8958893,-0.53959656
android.sensor.gyroscope,1538336405649,281403059321358,-0.33406067,2.3705292,-0.62939453
android.sensor.gyroscope,1538336405669,281403079157783,0.08743286,2.2782898,-0.7863922
android.sensor.gyroscope,1538336405689,281403098994209,0.65859985,1.9844666,-1.0728912
android.sensor.gyroscope,1538336405709,281403118830635,1.2157135,2.0626526,-1.3746643
android.sensor.gyroscope,1538336405728,281403138697578,1.9359283,2.1542816,-1.9372711
android.sensor.gyroscope,1538336405748,281403158534004,3.0819244,1.792038,-2.6232758
android.sensor.gyroscope,1538336405769,281403178370430,4.1753845,1.6717072,-2.9898071
android.sensor.gyroscope,1538336405787,281403198206856,4.647583,2.1268005,-2.99469
android.sensor.gyroscope,1538336405806,281403218043282,4.5211334,2.1500092,-2.918335
android.sensor.gyroscope,1538336405828,281403237879707,4.3910217,1.4688873,-2.9238281
android.sensor.gyroscope,1538336405846,281403257716133,4.9310303,1.5030975,-2.7191772
android.sensor.gyroscope,1538336405866,281403277542840,5.3433685,2.341217,-2.2359772
android.sensor.gyroscope,1538336405886,281403297379266,4.720276,2.6875763,-1.8144989
android.sensor.gyroscope,1538336405906,281403317215691,4.435608,2.1219177,-1.9067383
android.sensor.gyroscope,1538336405925,281403337052117,4.257248,1.4994354,-2.0655518
android.sensor.gyroscope,1538336405946,281403356888543,3.311615,1.4169617,-1.8987885
android.sensor.gyroscope,1538336405973,281403376724969,2.2413635,1.4762115,-1.684372
android.sensor.gyroscope,1538336405985,281403396561395,1.6280518,1.3259583,-1.5389862
android.sensor.gyroscope,1538336406005,281403416428338,1.1876068,1.1078644,-1.3001251
android.sensor.gyroscope,1538336406025,281403436264764,0.6555481,0.88978577,-1.0557861
android.sensor.gyroscope,1538336406044,281403456101189,0.30062866,0.6943054,-0.86457825
android.sensor.gyroscope,1538336406065,281403475968133,0.20167542,0.4297943,-0.6526184
android.sensor.gyroscope,1538336406084,281403495804559,0.1479187,0.2300415,-0.4186554
android.sensor.gyroscope,1538336406104,281403515640984,-0.052444458,0.13414001,-0.19812012
android.sensor.gyroscope,1538336406124,281403535477410,-0.37191772,0.07122803,0.007736206
android.sensor.gyroscope,1538336406143,281403555313836,-0.5570221,-0.009399414,0.19892883
android.sensor.gyroscope,1538336406163,281403575150262,-0.54174805,-0.077819824,0.39501953
android.sensor.gyroscope,1538336406187,281403594986688,-0.43850708,-0.06376648,0.59355164
android.sensor.gyroscope,1538336406203,281403614823113,-0.49531555,0.049224854,0.8873749
android.sensor.gyroscope,1538336406223,281403634659539,-0.9186554,0.31251526,1.4005127
android.sensor.gyroscope,1538336406246,281403654495965,-1.3132782,0.6307831,1.9637451
android.sensor.gyroscope,1538336406264,281403674332391,-1.304718,0.75723267,2.530014
android.sensor.gyroscope,1538336406282,281403694199334,-1.1434479,0.6552124,3.1885223
android.sensor.gyroscope,1538336406303,281403714035760,-1.4268951,0.50494385,3.8110046
android.sensor.gyroscope,1538336406322,281403733872186,-2.1104584,0.6460571,4.406006
android.sensor.gyroscope,1538336406342,281403753708611,-2.75737,0.9111786,4.950897
android.sensor.gyroscope,1538336406363,281403773545037,-3.0133362,0.7028656,5.603302
android.sensor.gyroscope,1538336406383,281403793381463,-3.084198,0.42185974,6.308243
android.sensor.gyroscope,1538336406403,281403813217889,-3.5264587,1.042511,6.88002
android.sensor.gyroscope,1538336406422,281403833054314,-4.0903015,2.1133575,7.088333
android.sensor.gyroscope,1538336406443,281403852890740,-4.3450317,2.9490356,6.3858337
android.sensor.gyroscope,1538336406462,281403872727166,-4.6748962,3.376648,4.6479034
android.sensor.gyroscope,1538336406482,281403892563592,-4.203308,2.9215393,2.5862122
android.sensor.gyroscope,1538336406501,281403912400018,-2.3346558,2.2013245,1.0040588
android.sensor.gyroscope,1538336406522,281403932266961,-0.9357605,2.5672455,-0.100997925
android.sensor.gyroscope,1538336406541,281403952103387,-0.62420654,3.5934906,-0.85113525
android.sensor.gyroscope,1538336406562,281403971939813,-0.7457733,4.220871,-1.2616425
android.sensor.gyroscope,1538336406582,281403991776238,-0.9455261,3.9276428,-1.4998932
android.sensor.gyroscope,1538336406601,281404011643182,-1.0432739,3.2410278,-1.699646
android.sensor.gyroscope,1538336406620,281404031479607,-0.80197144,2.7578278,-1.6532135
android.sensor.gyroscope,1538336406640,281404051316033,-0.44828796,2.5543976,-1.2775269
android.sensor.gyroscope,1538336406660,281404071152459,-0.22531128,2.5788422,-0.8719177
android.sensor.gyroscope,1538336406680,281404090988885,-0.115356445,2.8769379,-0.7485199
android.sensor.gyroscope,1538336406699,281404110825311,-0.043884277,2.9368134,-0.84625244
android.sensor.gyroscope,1538336406719,281404130661736,0.12837219,2.5122528,-0.79556274
android.sensor.gyroscope,1538336406739,281404150498162,0.14241028,2.1029663,-0.6935425
android.sensor.gyroscope,1538336406759,281404170334588,-0.23753357,1.988739,-0.44979858
android.sensor.gyroscope,1538336406779,281404190171014,-0.6345978,2.3778687,-0.3209076
