Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336499578,281496980278045,2.280365,1.3615112,9.178864
android.sensor.accelerometer,1538336499604,281497000114471,2.1463623,1.0815582,9.973282
android.sensor.accelerometer,1538336499606,281497019950897,1.5744781,0.653244,10.877777
android.sensor.accelerometer,1538336499625,281497039787323,0.98583984,0.44984436,11.19841
android.sensor.accelerometer,1538336499646,281497059623748,0.78723145,0.7010956,10.640884
android.sensor.accelerometer,1538336499665,281497079460174,0.6628113,1.0217285,9.707687
android.sensor.accelerometer,1538336499685,281497099296600,0.6699829,1.2442627,9.470795
android.sensor.accelerometer,1538336499707,281497119133026,0.5168457,1.282547,9.681366
android.sensor.accelerometer,1538336499726,281497138969452,0.5694885,1.4165497,9.76033
android.sensor.accelerometer,1538336499744,281497158805877,1.2873383,1.6127625,9.887146
android.sensor.accelerometer,1538336499765,281497178642303,1.7204437,1.7706909,10.061813
android.sensor.accelerometer,1538336499786,281497198478729,1.6630096,1.7180481,10.057037
android.sensor.accelerometer,1538336499811,281497218315155,1.4237366,1.6678009,9.949356
android.sensor.accelerometer,1538336499827,281497238151580,1.3160553,1.6366882,9.789032
android.sensor.accelerometer,1538336499847,281497257988006,1.5074768,1.6223297,9.537796
android.sensor.accelerometer,1538336499868,281497277854950,1.832901,1.5984039,9.439682
android.sensor.accelerometer,1538336499889,281497297691375,2.1391907,1.5337982,9.482758
android.sensor.accelerometer,1538336499906,281497317558319,2.0626068,1.414154,9.511475
android.sensor.accelerometer,1538336499927,281497337394745,2.0315094,1.2562256,9.67897
android.sensor.accelerometer,1538336499947,281497357231170,2.6201477,1.1940155,9.82254
android.sensor.accelerometer,1538336500005,281497377067596,3.912262,1.3136597,9.537796
android.sensor.accelerometer,1538336500005,281497396904022,4.0749817,1.6438751,8.379669
android.sensor.accelerometer,1538336500005,281497416740448,4.1826477,1.9956207,7.9465637
android.sensor.accelerometer,1538336500022,281497436576873,4.4602203,2.251648,8.331802
android.sensor.accelerometer,1538336500041,281497456413299,4.7401886,2.4933167,9.193222
android.sensor.accelerometer,1538336500062,281497476249725,6.7812653,2.7756805,10.731812
android.sensor.accelerometer,1538336500081,281497496086151,10.528427,4.0701904,13.079163
android.sensor.accelerometer,1538336500102,281497515922577,14.108078,3.9361877,12.679565
android.sensor.accelerometer,1538336500122,281497535759002,14.036301,4.3166504,9.958923
android.sensor.accelerometer,1538336500142,281497555625946,12.433105,5.63031,7.491928
android.sensor.accelerometer,1538336500163,281497575462372,13.332809,5.9724884,7.573288
android.sensor.accelerometer,1538336500183,281497595298797,16.132416,6.2357025,7.410568
android.sensor.accelerometer,1538336500202,281497615135223,15.708878,6.4247284,6.620941
android.sensor.accelerometer,1538336500221,281497634971649,15.290131,5.4556427,6.5324097
android.sensor.accelerometer,1538336500242,281497654808075,15.804596,4.0773773,8.204987
android.sensor.accelerometer,1538336500262,281497674644500,14.663223,0.4283142,9.934998
android.sensor.accelerometer,1538336500282,281497694480926,9.640686,-0.65802,12.435501
android.sensor.accelerometer,1538336500302,281497714317352,7.228714,-5.1541443,14.2947235
android.sensor.accelerometer,1538336500326,281497734153778,3.900299,-5.974884,15.541382
android.sensor.accelerometer,1538336500341,281497753990204,3.4743805,-7.6402893,17.065613
android.sensor.accelerometer,1538336500361,281497773826629,0.61016846,-8.252853,19.573288
android.sensor.accelerometer,1538336500383,281497793663055,-1.8305054,-10.289139,22.054642
android.sensor.accelerometer,1538336500402,281497813499481,-3.8213348,-10.865814,23.19603
android.sensor.accelerometer,1538336500423,281497833366424,-4.9914246,-11.131409,23.260635
android.sensor.accelerometer,1538336500439,281497853202850,-4.9866486,-11.071594,21.817764
android.sensor.accelerometer,1538336500460,281497873039276,-3.7447662,-11.442474,18.817154
android.sensor.accelerometer,1538336500483,281497892875702,-1.6223297,-12.2608185,14.75415
android.sensor.accelerometer,1538336500503,281497912712127,1.4596252,-13.418945,10.853836
android.sensor.accelerometer,1538336500522,281497932548553,6.139984,-15.108276,6.0634155
android.sensor.accelerometer,1538336500538,281497952415497,9.131012,-16.49852,3.0436707
android.sensor.accelerometer,1538336500559,281497972251922,11.743973,-18.250061,2.766098
android.sensor.accelerometer,1538336500581,281497992088348,14.266006,-22.829926,-0.55274963
android.sensor.accelerometer,1538336500601,281498011924774,9.336792,-29.001007,-10.66481
android.sensor.accelerometer,1538336500622,281498031761200,-6.9152527,-30.008392,-27.8405
android.sensor.accelerometer,1538336500646,281498051597625,-18.381668,-22.018753,-37.76114
android.sensor.accelerometer,1538336500660,281498071434051,-18.087341,-18.396027,-31.424942
android.sensor.accelerometer,1538336500678,281498091270477,-15.086746,-18.333817,-22.482956
android.sensor.accelerometer,1538336500702,281498111106903,-16.036697,-18.81955,-25.62474
android.sensor.accelerometer,1538336500720,281498130973846,-19.70729,-18.699905,-29.699722
android.sensor.accelerometer,1538336500740,281498150810272,-23.784653,-18.496521,-28.78566
android.sensor.accelerometer,1538336500761,281498170646698,-23.763123,-19.99443,-27.55574
android.sensor.accelerometer,1538336500780,281498190483123,-18.113663,-21.631119,-25.998016
android.sensor.accelerometer,1538336500799,281498210319549,-9.229111,-21.743576,-27.82135
android.sensor.accelerometer,1538336500819,281498230155975,-0.7298126,-21.94458,-28.567917
android.sensor.accelerometer,1538336500840,281498249992401,6.6424713,-24.14598,-24.476181
android.sensor.accelerometer,1538336500861,281498269828827,12.18425,-28.536804,-19.54219
android.sensor.accelerometer,1538336500880,281498289665252,19.527832,-38.062637,-8.748154
android.sensor.accelerometer,1538336500897,281498309501678,29.582474,-41.891144,15.536591
android.sensor.accelerometer,1538336500917,281498329338104,35.52385,-33.84169,41.95337
