Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336512166,281509558501293,12.770935,-15.025818,-3.5401917
android.sensor.gyroscope,1538336512166,281509578368236,14.800858,-17.941498,-6.221924
android.sensor.gyroscope,1538336512183,281509598204662,13.220551,-15.319031,-7.1376038
android.sensor.gyroscope,1538336512203,281509618041088,7.4771423,-6.2952576,-4.361206
android.sensor.gyroscope,1538336512223,281509637877514,1.9841919,-0.10836792,0.7236786
android.sensor.gyroscope,1538336512243,281509657713940,0.522995,-1.0515594,4.0956726
android.sensor.gyroscope,1538336512266,281509677550365,1.0587158,-2.8878326,5.282593
android.sensor.gyroscope,1538336512288,281509697386791,0.6628876,-3.473648,6.539154
android.sensor.gyroscope,1538336512305,281509717223217,-2.2362976,-1.6746368,8.956985
android.sensor.gyroscope,1538336512325,281509737059643,-7.2448273,1.7889862,11.978348
android.sensor.gyroscope,1538336512346,281509756896068,-13.248459,4.972229,13.568436
android.sensor.gyroscope,1538336512365,281509776732494,-18.738342,8.826218,12.774307
android.sensor.gyroscope,1538336512386,281509796568920,-19.798218,9.660049,9.674759
android.sensor.gyroscope,1538336512409,281509816405346,-15.167206,7.6679993,5.8806305
android.sensor.gyroscope,1538336512428,281509836241772,-4.855713,3.587387,1.4817657
android.sensor.gyroscope,1538336512445,281509856108715,3.8449097,0.15856934,-1.5481567
android.sensor.gyroscope,1538336512469,281509875945141,7.847931,0.7193451,-1.1639099
android.sensor.gyroscope,1538336512491,281509895781567,8.736145,3.0015717,0.2997284
android.sensor.gyroscope,1538336512506,281509915617992,9.149704,2.8806152,0.5391846
android.sensor.gyroscope,1538336512524,281509935454418,10.734909,1.2636414,-0.40704346
android.sensor.gyroscope,1538336512547,281509955290844,13.492996,-1.5194702,-3.0227966
android.sensor.gyroscope,1538336512574,281509975127270,16.452667,-7.9531555,-8.587814
android.sensor.gyroscope,1538336512589,281509994963695,17.228455,-16.235336,-15.59877
android.sensor.gyroscope,1538336512604,281510014800121,10.332336,-13.210312,-16.493088
android.sensor.gyroscope,1538336512624,281510034636547,0.13996887,1.7468414,-8.241455
android.sensor.gyroscope,1538336512646,281510054472973,-3.993164,3.3405914,0.6320343
android.sensor.gyroscope,1538336512663,281510074309399,-2.1049652,-0.6043854,3.9105835
android.sensor.gyroscope,1538336512683,281510094145824,0.34584045,-2.5469666,5.0968933
android.sensor.gyroscope,1538336512702,281510113982250,-0.09214783,-3.0631561,7.5043335
android.sensor.gyroscope,1538336512723,281510133818676,-3.6718445,-0.45350647,10.886108
android.sensor.gyroscope,1538336512744,281510153685619,-8.587524,2.9484253,13.419998
android.sensor.gyroscope,1538336512763,281510173522045,-14.266785,7.1108856,13.553772
android.sensor.gyroscope,1538336512783,281510193358471,-18.635727,10.347275,11.800583
android.sensor.gyroscope,1538336512804,281510213225414,-16.629623,8.165863,8.55809
android.sensor.gyroscope,1538336512824,281510233061840,-6.567993,3.85495,3.9209595
android.sensor.gyroscope,1538336512843,281510252898266,3.7685394,-0.7534485,-1.1523132
android.sensor.gyroscope,1538336512863,281510272734692,8.23584,-1.6098938,-3.137024
android.sensor.gyroscope,1538336512882,281510292571117,9.229111,2.1066437,-1.8004303
android.sensor.gyroscope,1538336512903,281510312407543,9.662216,3.4145203,-0.48095703
android.sensor.gyroscope,1538336512923,281510332243969,10.716583,2.179947,-1.0344086
android.sensor.gyroscope,1538336512943,281510352080395,12.646927,-1.5359802,-4.055771
android.sensor.gyroscope,1538336512963,281510371916820,14.2278595,-8.326401,-9.2438965
android.sensor.gyroscope,1538336512982,281510391753246,13.824081,-13.619598,-13.768616
android.sensor.gyroscope,1538336513002,281510411589672,8.328079,-8.419876,-12.841919
android.sensor.gyroscope,1538336513022,281510431456615,0.40325928,1.9178772,-5.313553
android.sensor.gyroscope,1538336513042,281510451293041,-3.067093,2.5421906,1.4506073
android.sensor.gyroscope,1538336513062,281510471129467,-1.034729,-0.066223145,4.2477875
android.sensor.gyroscope,1538336513082,281510490965893,1.2823029,-2.408905,6.101761
android.sensor.gyroscope,1538336513101,281510510802318,0.18457031,-1.9000549,8.766388
android.sensor.gyroscope,1538336513122,281510530638744,-3.706665,0.5043335,11.886108
android.sensor.gyroscope,1538336513141,281510550475170,-9.512985,4.224533,14.112122
android.sensor.gyroscope,1538336513161,281510570311596,-16.324188,8.27887,13.8867035
android.sensor.gyroscope,1538336513180,281510590148022,-17.986984,7.0754547,11.043106
android.sensor.gyroscope,1538336513199,281510609984447,-7.303467,-0.24581909,4.8122253
android.sensor.gyroscope,1538336513220,281510629820873,4.6726227,-3.9537964,-2.8609161
android.sensor.gyroscope,1538336513238,281510649657299,9.138092,-3.1150665,-5.746048
android.sensor.gyroscope,1538336513258,281510669493725,9.94017,1.4780579,-4.866394
android.sensor.gyroscope,1538336513280,281510689330150,10.788055,2.8769379,-4.0875397
android.sensor.gyroscope,1538336513298,281510709197094,12.254761,0.24043274,-5.7875977
android.sensor.gyroscope,1538336513318,281510729033520,13.176559,-5.3355865,-9.948837
android.sensor.gyroscope,1538336513339,281510748869945,11.243164,-9.806549,-13.408188
android.sensor.gyroscope,1538336513358,281510768706371,4.242584,-3.9476929,-10.403931
android.sensor.gyroscope,1538336513378,281510788542797,-2.657196,3.3405914,-2.2164307
android.sensor.gyroscope,1538336513398,281510808379223,-2.7262268,0.6552124,3.3003235
android.sensor.gyroscope,1538336513418,281510828215649,0.30184937,-2.2378693,5.742584
android.sensor.gyroscope,1538336513438,281510848052074,0.8394165,-2.9898376,8.163452
android.sensor.gyroscope,1538336513457,281510867888500,-2.4476624,-1.5713959,11.076706
android.sensor.gyroscope,1538336513478,281510887755443,-8.031021,1.8262634,13.146942
