Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336152814,281150216429825,-0.07417297,6.2189484,7.652252
android.sensor.accelerometer,1538336152839,281150236266251,-0.08375549,6.2644043,7.903488
android.sensor.accelerometer,1538336152841,281150256102677,-0.16749573,6.2237244,8.197815
android.sensor.accelerometer,1538336152860,281150275939103,-0.14356995,6.2596283,8.410767
android.sensor.accelerometer,1538336152881,281150295775529,-0.24645996,6.3098755,8.338989
android.sensor.accelerometer,1538336152902,281150315611954,-0.112457275,6.4008026,8.362915
android.sensor.accelerometer,1538336152923,281150335448380,-0.071777344,6.4654083,8.353348
android.sensor.accelerometer,1538336152944,281150355284806,-0.04307556,6.520447,8.257629
android.sensor.accelerometer,1538336152971,281150375121232,-0.021530151,6.5659027,8.274384
android.sensor.accelerometer,1538336152985,281150394957657,0.011962891,6.582657,8.233704
android.sensor.accelerometer,1538336153004,281150414794083,-0.009567261,6.6400757,8.039886
android.sensor.accelerometer,1538336153023,281150434630509,-0.095718384,6.6424713,7.831711
android.sensor.accelerometer,1538336153042,281150454466935,-0.0765686,6.5850525,7.7695007
android.sensor.accelerometer,1538336153063,281150474333878,-0.088531494,6.5348053,7.5637054
android.sensor.accelerometer,1538336153092,281150494170304,-0.12921143,6.4342957,7.166504
android.sensor.accelerometer,1538336153102,281150514006730,-0.17945862,6.3601227,6.685547
android.sensor.accelerometer,1538336153123,281150533873673,-0.22732544,6.336197,6.0059814
android.sensor.accelerometer,1538336153144,281150553710099,-0.23928833,6.278763,5.022537
android.sensor.accelerometer,1538336153170,281150573546525,-0.16270447,6.106491,3.9888306
android.sensor.accelerometer,1538336153183,281150593382950,-0.071777344,5.6973114,2.8378906
android.sensor.accelerometer,1538336153203,281150613219376,0.26560974,5.170883,1.2370911
android.sensor.accelerometer,1538336153222,281150633055802,0.77049255,4.4817505,-0.3900299
android.sensor.accelerometer,1538336153250,281150652892228,1.4404755,3.2686005,-1.8305054
android.sensor.accelerometer,1538336153262,281150672728654,1.9669037,1.7132568,-2.6990967
android.sensor.accelerometer,1538336153282,281150692565079,2.108078,-0.4283142,-2.3688965
android.sensor.accelerometer,1538336153302,281150712401505,3.098709,-2.6943207,-1.2322998
android.sensor.accelerometer,1538336153323,281150732237931,4.689926,-5.1062775,-0.62931824
android.sensor.accelerometer,1538336153341,281150752104874,7.0157623,-7.35553,-0.55513
android.sensor.accelerometer,1538336153362,281150771941300,9.47319,-9.097519,0.36849976
android.sensor.accelerometer,1538336153382,281150791777726,11.428116,-10.923233,1.450058
android.sensor.accelerometer,1538336153402,281150811614152,14.852249,-12.500107,1.0504456
android.sensor.accelerometer,1538336153422,281150831450577,20.20021,-13.481171,2.2014008
android.sensor.accelerometer,1538336153439,281150851317521,23.949768,-13.928619,3.1274261
android.sensor.accelerometer,1538336153459,281150871153947,25.375885,-13.033707,2.4669952
android.sensor.accelerometer,1538336153479,281150890990372,23.933014,-13.0121765,-3.2901306
android.sensor.accelerometer,1538336153499,281150910826798,22.174286,-14.203796,-5.5657043
android.sensor.accelerometer,1538336153518,281150930663224,23.152954,-15.586853,-6.661621
android.sensor.accelerometer,1538336153540,281150950499650,22.734207,-17.060822,-7.3938293
