Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.gyroscope,1538336167691,281165076903864,0.069732666,0.025405884,0.0046844482
android.sensor.gyroscope,1538336167691,281165096770807,0.09109497,-0.008804321,0.016296387
android.sensor.gyroscope,1538336167701,281165116607233,0.08621216,-0.041778564,0.01322937
android.sensor.gyroscope,1538336167723,281165136443659,0.04650879,-0.04055786,0.019348145
android.sensor.gyroscope,1538336167741,281165156280084,0.0061950684,-0.01612854,0.02545166
android.sensor.gyroscope,1538336167763,281165176116510,0.008026123,0.022354126,0.006515503
android.sensor.gyroscope,1538336167785,281165195952936,0.029403687,0.038238525,-0.003250122
android.sensor.gyroscope,1538336167808,281165215789362,0.04284668,0.03211975,-1.9836426E-4
android.sensor.gyroscope,1538336167824,281165235625788,0.053848267,0.027236938,0.008346558
android.sensor.gyroscope,1538336167844,281165255462213,0.06666565,0.008300781,0.04866028
android.sensor.gyroscope,1538336167864,281165275298639,0.10331726,-0.04789734,0.17694092
android.sensor.gyroscope,1538336167891,281165295135065,0.23771667,-0.28918457,0.2862854
android.sensor.gyroscope,1538336167903,281165314971491,0.4753418,-0.7644501,0.2398529
android.sensor.gyroscope,1538336167924,281165334807916,0.7465668,-1.2836761,0.16656494
android.sensor.gyroscope,1538336167944,281165354674860,1.0318451,-1.7565002,0.09814453
android.sensor.gyroscope,1538336167964,281165374511286,1.4637299,-2.41745,-0.046020508
android.sensor.gyroscope,1538336167985,281165394347711,2.0513916,-3.119339,-0.27815247
android.sensor.gyroscope,1538336168004,281165414214655,2.7813873,-3.831009,-0.7931061
android.sensor.gyroscope,1538336168082,281165434051080,3.3617096,-4.9373016,-1.3074646
android.sensor.gyroscope,1538336168082,281165453887506,3.4081268,-5.4003296,-1.8749695
android.sensor.gyroscope,1538336168082,281165473723932,3.1466827,-5.011215,-2.2274323
android.sensor.gyroscope,1538336168082,281165493560358,2.8821716,-5.1321564,-2.3294525
android.sensor.gyroscope,1538336168099,281165513396784,2.767334,-5.4492035,-2.513321
android.sensor.gyroscope,1538336168122,281165533233209,2.5633087,-6.507843,-2.6855927
android.sensor.gyroscope,1538336168142,281165553069635,2.2945251,-7.578705,-2.594574
android.sensor.gyroscope,1538336168161,281165572906061,2.1546326,-8.03624,-2.2158356
android.sensor.gyroscope,1538336168188,281165592742487,1.8424683,-7.9177246,-1.738739
android.sensor.gyroscope,1538336168200,281165612578913,1.172348,-7.669113,-1.1712341
android.sensor.gyroscope,1538336168223,281165632445856,0.2926941,-7.467514,-0.776001
android.sensor.gyroscope,1538336168238,281165652282282,-0.5179291,-7.0967255,-0.47485352
android.sensor.gyroscope,1538336168257,281165672118707,-1.0157776,-6.161484,-0.14376831
android.sensor.gyroscope,1538336168278,281165691955133,-1.1226807,-5.8181763,0.31744385
android.sensor.gyroscope,1538336168299,281165711791559,-1.0066223,-5.987381,0.69740295
android.sensor.gyroscope,1538336168318,281165731627985,-0.98646545,-6.2751007,0.9478607
android.sensor.gyroscope,1538336168338,281165751494928,-1.0518341,-5.958069,1.3760834
